Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Ancash Huaraz,-9.53,-77.53,2023,274,19.69,4.77,59.21,2.36,15.05
Ancash Huaraz,-9.53,-77.53,2023,275,19.08,7.23,63.78,1.92,17.8
Ancash Huaraz,-9.53,-77.53,2023,276,19.44,5.58,61.82,1.85,13.58
Ancash Huaraz,-9.53,-77.53,2023,277,19.92,6.62,60.39,1.59,16.97
Ancash Huaraz,-9.53,-77.53,2023,278,19.42,7.84,62.63,1.74,15.67
Ancash Huaraz,-9.53,-77.53,2023,279,20.84,7.56,59.6,1.43,18.17
Ancash Huaraz,-9.53,-77.53,2023,280,22.27,7.42,54.74,1.41,17.9
Ancash Huaraz,-9.53,-77.53,2023,281,21.74,6.89,57.55,1.51,17.48
Ancash Huaraz,-9.53,-77.53,2023,282,20.19,8.04,59.81,1.78,12.49
Ancash Huaraz,-9.53,-77.53,2023,283,16.46,6.12,59.15,3.19,16.7
Ancash Huaraz,-9.53,-77.53,2023,284,20.48,3.57,53.95,3.52,19.95
Ancash Huaraz,-9.53,-77.53,2023,285,19.59,4.23,57.29,2.19,16.3
Ancash Huaraz,-9.53,-77.53,2023,286,16.49,6.5,68.11,1.96,16.56
Ancash Huaraz,-9.53,-77.53,2023,287,17.24,3.22,58.76,2.74,17.2
Ancash Huaraz,-9.53,-77.53,2023,288,18.32,4.41,58.17,2.71,17.31
Ancash Huaraz,-9.53,-77.53,2023,289,18.62,3.89,60.9,2.52,17.47
Ancash Huaraz,-9.53,-77.53,2023,290,19.3,7.04,58.47,2.2,13.67
Ancash Huaraz,-9.53,-77.53,2023,291,18.77,4.81,61.33,2.17,16.25
Ancash Huaraz,-9.53,-77.53,2023,292,17.71,6.7,58.85,2.15,18.29
Ancash Huaraz,-9.53,-77.53,2023,293,18.51,5.58,58.94,2.66,15.36
Ancash Huaraz,-9.53,-77.53,2023,294,17.19,6.97,59.03,1.96,14.39
Ancash Huaraz,-9.53,-77.53,2023,295,19.19,6.48,63.15,2.39,19.84
Ancash Huaraz,-9.53,-77.53,2023,296,20.05,4.67,55.75,1.4,17.5
Ancash Huaraz,-9.53,-77.53,2023,297,19.22,5.77,61.34,1.51,17.12
Ancash Huaraz,-9.53,-77.53,2023,298,19.84,3.51,61.51,1.78,13.4
Ancash Huaraz,-9.53,-77.53,2023,299,18.77,7.8,64.64,1.51,11.12
Ancash Huaraz,-9.53,-77.53,2023,300,18.17,2.82,68.72,2.49,13.54
Ancash Huaraz,-9.53,-77.53,2023,301,16.47,2.75,65.81,3.17,11.41
Ancash Huaraz,-9.53,-77.53,2023,302,17.86,4.4,65.74,2.6,18.23
Ancash Huaraz,-9.53,-77.53,2023,303,19.83,2.8,61.67,2.73,21.18
Ancash Huaraz,-9.53,-77.53,2023,304,16.74,2.31,66.52,2.51,16.92
Ancash Huaraz,-9.53,-77.53,2023,305,20.53,3.11,37.37,3.05,19.38
Ancash Huaraz,-9.53,-77.53,2023,306,17.03,5.32,50.13,1.86,17.88
Ancash Huaraz,-9.53,-77.53,2023,307,19.09,4.41,63.74,1.88,17.63
Ancash Huaraz,-9.53,-77.53,2023,308,18.61,6.9,62.63,2.53,16.44
Ancash Huaraz,-9.53,-77.53,2023,309,18.43,6.66,62.72,2.05,13.76
Ancash Huaraz,-9.53,-77.53,2023,310,17.72,4.11,61.58,1.94,16.83
Ancash Huaraz,-9.53,-77.53,2023,311,20.34,6.41,58.13,2.36,20.14
Ancash Huaraz,-9.53,-77.53,2023,312,21.13,4.76,53.03,2.24,22.41
Ancash Huaraz,-9.53,-77.53,2023,313,20.01,3.78,61.4,2.01,17.55
Ancash Huaraz,-9.53,-77.53,2023,314,18.35,2.93,63.2,3.07,22.31
Ancash Huaraz,-9.53,-77.53,2023,315,18.5,4.24,56.07,2.71,18.78
Ancash Huaraz,-9.53,-77.53,2023,316,19.83,4.24,58.72,2.57,20.7
Ancash Huaraz,-9.53,-77.53,2023,317,18.91,3.42,60.56,2.64,16.86
Ancash Huaraz,-9.53,-77.53,2023,318,19.91,6.99,62.17,1.77,17.37
Ancash Huaraz,-9.53,-77.53,2023,319,16.64,8.02,68.61,1.77,14.55
Ancash Huaraz,-9.53,-77.53,2023,320,18.25,3.79,67.87,2.06,15.32
Ancash Huaraz,-9.53,-77.53,2023,321,19.31,4.63,62.69,1.7,14.18
Ancash Huaraz,-9.53,-77.53,2023,322,19.89,7.62,58.0,1.05,14.76
Ancash Huaraz,-9.53,-77.53,2023,323,20.12,7.14,59.42,1.19,19.71
