Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Apurimac Abancay,-13.63,-72.88,2023,274,21.73,8.7,70.31,2.28,16.9
Apurimac Abancay,-13.63,-72.88,2023,275,23.59,10.42,69.94,2.0,20.85
Apurimac Abancay,-13.63,-72.88,2023,276,16.29,3.45,69.26,1.99,19.57
Apurimac Abancay,-13.63,-72.88,2023,277,23.67,8.52,68.04,2.35,17.42
Apurimac Abancay,-13.63,-72.88,2023,278,19.64,11.66,71.88,1.95,17.62
Apurimac Abancay,-13.63,-72.88,2023,279,21.52,11.01,69.79,2.19,22.0
Apurimac Abancay,-13.63,-72.88,2023,280,19.81,10.98,71.25,2.05,15.31
Apurimac Abancay,-13.63,-72.88,2023,281,22.18,11.18,71.05,2.31,19.78
Apurimac Abancay,-13.63,-72.88,2023,282,22.34,9.4,70.76,2.68,13.09
Apurimac Abancay,-13.63,-72.88,2023,283,21.86,7.65,65.92,2.51,20.22
Apurimac Abancay,-13.63,-72.88,2023,284,23.96,9.13,68.04,2.37,23.71
Apurimac Abancay,-13.63,-72.88,2023,285,17.21,11.12,75.49,1.89,19.87
Apurimac Abancay,-13.63,-72.88,2023,286,17.26,4.12,78.03,1.7,17.76
Apurimac Abancay,-13.63,-72.88,2023,287,22.71,7.83,66.12,2.68,20.71
Apurimac Abancay,-13.63,-72.88,2023,288,22.25,9.19,66.28,2.89,21.37
Apurimac Abancay,-13.63,-72.88,2023,289,19.91,9.8,73.27,2.55,21.33
Apurimac Abancay,-13.63,-72.88,2023,290,21.52,8.15,70.96,2.76,19.81
Apurimac Abancay,-13.63,-72.88,2023,291,22.28,8.65,66.14,3.01,18.3
Apurimac Abancay,-13.63,-72.88,2023,292,21.21,10.61,67.75,2.82,21.6
Apurimac Abancay,-13.63,-72.88,2023,293,20.79,10.22,69.46,2.63,16.56
Apurimac Abancay,-13.63,-72.88,2023,294,23.53,8.48,62.2,3.12,15.42
Apurimac Abancay,-13.63,-72.88,2023,295,24.01,10.33,63.77,3.19,22.6
Apurimac Abancay,-13.63,-72.88,2023,296,23.0,9.89,65.26,2.45,21.18
Apurimac Abancay,-13.63,-72.88,2023,297,20.87,10.39,64.03,2.18,16.27
Apurimac Abancay,-13.63,-72.88,2023,298,19.09,10.64,72.26,1.97,16.53
Apurimac Abancay,-13.63,-72.88,2023,299,18.77,8.79,74.02,2.09,18.03
