Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Arequipa,-16.41,-71.54,2023,274,18.1,8.86,59.07,2.17,23.73
Arequipa,-16.41,-71.54,2023,275,22.33,6.76,54.9,3.4,27.21
Arequipa,-16.41,-71.54,2023,276,20.96,6.24,47.27,3.37,28.01
Arequipa,-16.41,-71.54,2023,277,23.77,6.31,39.22,3.17,28.61
Arequipa,-16.41,-71.54,2023,278,21.55,7.89,49.48,3.15,28.04
Arequipa,-16.41,-71.54,2023,279,22.24,6.79,50.08,3.41,27.64
Arequipa,-16.41,-71.54,2023,280,21.7,7.42,49.82,3.17,28.36
Arequipa,-16.41,-71.54,2023,281,23.26,6.56,43.66,3.74,29.11
Arequipa,-16.41,-71.54,2023,282,24.21,5.27,36.55,3.72,29.19
Arequipa,-16.41,-71.54,2023,283,23.82,8.12,44.43,3.32,27.63
Arequipa,-16.41,-71.54,2023,284,24.64,8.62,48.24,3.0,28.32
Arequipa,-16.41,-71.54,2023,285,23.54,9.92,48.81,2.62,26.5
Arequipa,-16.41,-71.54,2023,286,22.24,9.91,51.48,2.34,23.47
Arequipa,-16.41,-71.54,2023,287,23.41,8.69,52.49,2.61,26.34
Arequipa,-16.41,-71.54,2023,288,23.82,9.26,46.41,2.72,27.25
Arequipa,-16.41,-71.54,2023,289,22.23,9.73,52.4,2.86,27.34
Arequipa,-16.41,-71.54,2023,290,20.86,8.81,64.45,2.24,26.03
Arequipa,-16.41,-71.54,2023,291,18.57,8.81,63.53,2.67,23.45
Arequipa,-16.41,-71.54,2023,292,22.82,9.01,54.6,2.7,22.33
Arequipa,-16.41,-71.54,2023,293,19.0,7.16,61.88,2.41,20.48
Arequipa,-16.41,-71.54,2023,294,20.15,7.29,58.65,3.14,14.88
Arequipa,-16.41,-71.54,2023,295,20.68,8.76,64.45,3.47,21.06
Arequipa,-16.41,-71.54,2023,296,20.94,8.51,60.26,2.98,21.28
Arequipa,-16.41,-71.54,2023,297,22.42,9.09,55.78,2.84,24.21
Arequipa,-16.41,-71.54,2023,298,22.09,7.68,51.0,3.41,29.32
Arequipa,-16.41,-71.54,2023,299,21.89,5.09,46.47,3.47,30.66
Arequipa,-16.41,-71.54,2023,300,19.86,5.96,60.05,3.43,28.58
Arequipa,-16.41,-71.54,2023,301,18.57,5.46,53.67,3.45,29.18
Arequipa,-16.41,-71.54,2023,302,19.32,2.82,44.5,3.81,30.12
Arequipa,-16.41,-71.54,2023,303,21.09,2.93,31.4,3.81,31.78
Arequipa,-16.41,-71.54,2023,304,21.51,2.35,34.72,4.02,32.16
Arequipa,-16.41,-71.54,2023,305,21.49,4.14,45.07,3.98,31.77
