Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Ayacucho,-13.16,-74.22,2023,274,18.18,6.52,76.63,3.68,16.13
Ayacucho,-13.16,-74.22,2023,275,19.26,7.29,79.59,3.24,18.91
Ayacucho,-13.16,-74.22,2023,276,20.88,3.3,64.6,3.63,24.9
Ayacucho,-13.16,-74.22,2023,277,19.8,6.34,76.71,3.57,18.5
Ayacucho,-13.16,-74.22,2023,278,17.84,8.67,77.69,3.28,20.62
Ayacucho,-13.16,-74.22,2023,279,20.85,8.45,73.68,3.38,22.73
Ayacucho,-13.16,-74.22,2023,280,16.3,9.19,78.18,2.76,22.58
Ayacucho,-13.16,-74.22,2023,281,20.08,8.87,74.64,3.25,24.8
Ayacucho,-13.16,-74.22,2023,282,16.61,9.49,82.4,5.2,13.83
Ayacucho,-13.16,-74.22,2023,283,18.04,7.65,76.39,4.06,20.7
Ayacucho,-13.16,-74.22,2023,284,20.19,6.11,73.2,3.38,25.09
Ayacucho,-13.16,-74.22,2023,285,17.58,7.54,75.75,3.62,23.02
Ayacucho,-13.16,-74.22,2023,286,18.3,7.3,75.45,4.28,21.24
Ayacucho,-13.16,-74.22,2023,287,18.52,5.85,70.09,4.68,20.24
Ayacucho,-13.16,-74.22,2023,288,16.37,6.91,77.33,4.46,19.37
Ayacucho,-13.16,-74.22,2023,289,18.81,6.46,74.1,4.15,22.87
Ayacucho,-13.16,-74.22,2023,290,15.89,7.41,79.85,5.18,15.28
Ayacucho,-13.16,-74.22,2023,291,16.26,7.47,76.9,4.64,16.62
Ayacucho,-13.16,-74.22,2023,292,17.17,7.01,75.22,3.93,18.61
Ayacucho,-13.16,-74.22,2023,293,17.08,6.41,77.21,4.36,19.19
Ayacucho,-13.16,-74.22,2023,294,16.9,7.79,80.3,4.81,15.92
Ayacucho,-13.16,-74.22,2023,295,14.32,7.61,81.97,4.36,21.25
Ayacucho,-13.16,-74.22,2023,296,19.13,6.32,70.85,3.24,23.06
Ayacucho,-13.16,-74.22,2023,297,20.42,7.66,70.17,3.57,18.35
Ayacucho,-13.16,-74.22,2023,298,17.91,7.27,76.99,2.94,17.51
Ayacucho,-13.16,-74.22,2023,299,16.73,4.68,78.96,3.15,23.72
Ayacucho,-13.16,-74.22,2023,300,17.79,8.85,78.19,3.7,27.21
Ayacucho,-13.16,-74.22,2023,301,17.07,4.75,79.09,3.59,24.3
Ayacucho,-13.16,-74.22,2023,302,18.49,3.44,69.34,3.45,26.49
Ayacucho,-13.16,-74.22,2023,303,22.96,3.4,50.47,2.96,29.51
Ayacucho,-13.16,-74.22,2023,304,19.26,5.21,58.09,2.97,28.73
Ayacucho,-13.16,-74.22,2023,305,12.42,6.98,74.86,1.81,26.07
Ayacucho,-13.16,-74.22,2023,306,19.69,6.8,71.16,3.35,30.49
Ayacucho,-13.16,-74.22,2023,307,18.1,7.83,75.91,4.13,25.94
Ayacucho,-13.16,-74.22,2023,308,17.49,7.56,75.27,5.32,17.45
Ayacucho,-13.16,-74.22,2023,309,15.42,7.09,77.83,4.23,16.2
Ayacucho,-13.16,-74.22,2023,310,17.93,5.78,76.77,3.39,20.35
Ayacucho,-13.16,-74.22,2023,311,17.83,7.0,77.75,4.12,22.49
Ayacucho,-13.16,-74.22,2023,312,18.03,7.33,76.8,3.57,20.68
Ayacucho,-13.16,-74.22,2023,313,12.34,7.34,87.83,3.54,12.7
Ayacucho,-13.16,-74.22,2023,314,15.56,6.54,79.87,3.24,22.57
