Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Cajamarca,-7.16,-78.51,2023,274,24.4,10.11,62.68,3.73,17.77
Cajamarca,-7.16,-78.51,2023,275,23.96,11.75,69.24,1.66,17.48
Cajamarca,-7.16,-78.51,2023,276,24.08,10.5,69.06,1.66,16.2
Cajamarca,-7.16,-78.51,2023,277,21.97,12.42,76.79,1.45,18.15
Cajamarca,-7.16,-78.51,2023,278,22.98,12.28,72.32,2.16,14.87
Cajamarca,-7.16,-78.51,2023,279,22.24,11.81,73.74,1.1,16.04
Cajamarca,-7.16,-78.51,2023,280,24.29,11.58,70.42,1.7,20.68
Cajamarca,-7.16,-78.51,2023,281,22.21,11.83,73.76,1.46,14.92
Cajamarca,-7.16,-78.51,2023,282,23.61,12.82,73.01,2.11,15.63
Cajamarca,-7.16,-78.51,2023,283,22.22,12.34,71.6,3.64,16.62
Cajamarca,-7.16,-78.51,2023,284,25.43,10.01,59.05,3.86,22.37
Cajamarca,-7.16,-78.51,2023,285,24.41,10.61,62.26,2.5,21.1
Cajamarca,-7.16,-78.51,2023,286,21.46,13.3,71.69,1.32,18.62
Cajamarca,-7.16,-78.51,2023,287,21.57,12.33,70.91,2.78,16.07
Cajamarca,-7.16,-78.51,2023,288,21.79,11.55,72.11,3.54,16.99
Cajamarca,-7.16,-78.51,2023,289,23.29,10.32,67.96,3.67,18.14
Cajamarca,-7.16,-78.51,2023,290,23.82,10.98,67.49,2.62,18.29
Cajamarca,-7.16,-78.51,2023,291,23.29,11.35,67.42,2.52,16.39
Cajamarca,-7.16,-78.51,2023,292,23.24,11.72,67.01,2.33,21.26
Cajamarca,-7.16,-78.51,2023,293,23.53,11.32,67.19,2.98,19.49
Cajamarca,-7.16,-78.51,2023,294,23.15,11.51,68.43,2.39,16.28
Cajamarca,-7.16,-78.51,2023,295,22.34,11.1,69.68,2.13,19.62
Cajamarca,-7.16,-78.51,2023,296,24.08,11.17,67.4,1.71,17.44
Cajamarca,-7.16,-78.51,2023,297,22.32,12.26,70.66,1.45,18.41
Cajamarca,-7.16,-78.51,2023,298,21.63,12.71,76.16,1.17,15.28
Cajamarca,-7.16,-78.51,2023,299,21.34,11.72,77.32,1.49,10.95
Cajamarca,-7.16,-78.51,2023,300,21.58,10.39,76.08,2.42,13.25
Cajamarca,-7.16,-78.51,2023,301,18.82,10.66,76.63,2.71,10.9
Cajamarca,-7.16,-78.51,2023,302,23.28,8.77,64.24,2.83,20.0
Cajamarca,-7.16,-78.51,2023,303,23.83,10.34,64.92,2.55,22.05
Cajamarca,-7.16,-78.51,2023,304,22.84,11.11,68.07,2.68,14.42
Cajamarca,-7.16,-78.51,2023,305,22.6,10.13,60.37,3.03,22.1
Cajamarca,-7.16,-78.51,2023,306,23.85,10.13,44.01,2.5,17.79
Cajamarca,-7.16,-78.51,2023,307,24.77,8.83,51.07,2.15,24.66
Cajamarca,-7.16,-78.51,2023,308,21.36,12.05,69.8,2.24,16.74
Cajamarca,-7.16,-78.51,2023,309,22.96,10.89,70.06,2.12,13.53
Cajamarca,-7.16,-78.51,2023,310,22.05,11.84,70.75,2.23,14.41
Cajamarca,-7.16,-78.51,2023,311,23.4,11.03,66.01,2.94,20.03
Cajamarca,-7.16,-78.51,2023,312,24.63,11.08,63.53,2.8,20.8
Cajamarca,-7.16,-78.51,2023,313,25.09,11.8,65.22,2.51,20.23
Cajamarca,-7.16,-78.51,2023,314,24.55,12.1,63.77,2.5,24.77
Cajamarca,-7.16,-78.51,2023,315,24.31,12.53,64.64,1.73,17.86
Cajamarca,-7.16,-78.51,2023,316,24.27,13.67,67.79,1.59,19.81
Cajamarca,-7.16,-78.51,2023,317,25.42,13.12,66.48,1.98,18.87
Cajamarca,-7.16,-78.51,2023,318,21.98,13.51,76.86,1.63,20.89
Cajamarca,-7.16,-78.51,2023,319,18.43,12.91,81.84,2.18,13.73
Cajamarca,-7.16,-78.51,2023,320,21.39,11.89,75.06,2.11,14.6
Cajamarca,-7.16,-78.51,2023,321,21.44,12.5,76.79,1.43,14.85
Cajamarca,-7.16,-78.51,2023,322,20.97,12.59,79.12,1.34,16.09
Cajamarca,-7.16,-78.51,2023,323,22.59,11.65,77.03,1.53,18.2
Cajamarca,-7.16,-78.51,2023,324,21.63,9.49,71.97,2.19,17.48
Cajamarca,-7.16,-78.51,2023,325,22.06,9.28,64.63,2.22,22.46
Cajamarca,-7.16,-78.51,2023,326,21.94,7.48,56.37,3.11,27.71
Cajamarca,-7.16,-78.51,2023,327,22.06,6.87,63.31,2.87,24.33
Cajamarca,-7.16,-78.51,2023,328,21.3,10.2,71.89,2.3,24.22
Cajamarca,-7.16,-78.51,2023,329,24.68,10.44,62.77,2.53,25.19
Cajamarca,-7.16,-78.51,2023,330,23.89,11.27,66.23,2.98,14.58
Cajamarca,-7.16,-78.51,2023,331,22.03,11.05,69.12,3.29,15.58
Cajamarca,-7.16,-78.51,2023,332,23.08,11.14,71.37,1.91,19.1
Cajamarca,-7.16,-78.51,2023,333,22.82,11.94,72.98,2.03,16.57
Cajamarca,-7.16,-78.51,2023,334,22.09,11.38,74.72,2.82,14.15
Cajamarca,-7.16,-78.51,2023,335,22.77,10.77,76.81,2.88,14.12
Cajamarca,-7.16,-78.51,2023,336,21.33,11.34,78.1,1.65,17.92
Cajamarca,-7.16,-78.51,2023,337,22.7,12.26,73.7,1.76,20.18
Cajamarca,-7.16,-78.51,2023,338,22.39,12.85,74.09,2.19,17.71
Cajamarca,-7.16,-78.51,2023,339,16.73,12.48,86.6,1.77,12.6
Cajamarca,-7.16,-78.51,2023,340,20.97,10.86,79.75,1.85,14.03
Cajamarca,-7.16,-78.51,2023,341,20.42,11.98,80.52,1.79,16.27
Cajamarca,-7.16,-78.51,2023,342,22.11,11.73,73.79,3.01,19.1
Cajamarca,-7.16,-78.51,2023,343,23.38,11.4,71.81,3.22,18.66
Cajamarca,-7.16,-78.51,2023,344,23.19,11.28,72.47,2.56,20.64
Cajamarca,-7.16,-78.51,2023,345,23.11,12.16,74.59,2.26,22.25
Cajamarca,-7.16,-78.51,2023,346,24.14,11.89,72.77,2.55,17.32
Cajamarca,-7.16,-78.51,2023,347,23.57,12.07,74.43,2.07,17.76
Cajamarca,-7.16,-78.51,2023,348,21.67,12.02,78.75,1.77,14.57
Cajamarca,-7.16,-78.51,2023,349,22.28,10.62,74.33,1.89,14.18
Cajamarca,-7.16,-78.51,2023,350,17.45,12.22,84.03,1.62,14.65
Cajamarca,-7.16,-78.51,2023,351,21.28,11.34,79.75,1.71,14.03
Cajamarca,-7.16,-78.51,2023,352,21.8,11.13,76.29,1.93,13.66
Cajamarca,-7.16,-78.51,2023,353,23.55,9.97,67.08,2.79,19.74
Cajamarca,-7.16,-78.51,2023,354,23.58,9.84,67.81,1.88,16.87
Cajamarca,-7.16,-78.51,2023,355,22.86,11.65,77.36,1.58,17.68
Cajamarca,-7.16,-78.51,2023,356,21.18,11.4,78.9,2.01,18.05
Cajamarca,-7.16,-78.51,2023,357,21.83,11.26,79.04,2.1,12.88
Cajamarca,-7.16,-78.51,2023,358,21.88,12.19,79.89,1.77,20.05
Cajamarca,-7.16,-78.51,2023,359,18.68,9.01,87.03,1.18,14.42
Cajamarca,-7.16,-78.51,2023,360,18.25,9.24,85.23,1.5,13.85
Cajamarca,-7.16,-78.51,2023,361,17.42,11.09,85.58,1.43,9.24
Cajamarca,-7.16,-78.51,2023,362,18.83,10.64,83.67,1.19,13.02
Cajamarca,-7.16,-78.51,2023,363,20.32,10.11,81.97,2.11,13.72
Cajamarca,-7.16,-78.51,2023,364,18.43,11.09,84.53,1.57,12.98
Cajamarca,-7.16,-78.51,2023,365,19.53,10.4,82.22,1.79,11.17
Cajamarca,-7.16,-78.51,2024,1,20.07,10.65,80.83,1.77,16.11
Cajamarca,-7.16,-78.51,2024,2,19.77,11.49,81.91,1.72,17.27
Cajamarca,-7.16,-78.51,2024,3,20.12,10.58,80.61,1.66,15.47
Cajamarca,-7.16,-78.51,2024,4,19.93,11.31,81.92,1.52,15.89
Cajamarca,-7.16,-78.51,2024,5,22.24,11.29,78.23,1.64,17.01
Cajamarca,-7.16,-78.51,2024,6,22.19,11.63,78.23,1.87,20.28
Cajamarca,-7.16,-78.51,2024,7,22.5,11.49,75.6,2.82,17.3
Cajamarca,-7.16,-78.51,2024,8,21.42,11.3,79.83,1.88,17.01
Cajamarca,-7.16,-78.51,2024,9,22.95,11.4,75.9,1.64,17.5
Cajamarca,-7.16,-78.51,2024,10,21.52,10.99,80.55,1.66,13.83
Cajamarca,-7.16,-78.51,2024,11,18.81,11.57,84.34,1.89,16.93
Cajamarca,-7.16,-78.51,2024,12,19.96,10.64,82.96,1.87,15.01
Cajamarca,-7.16,-78.51,2024,13,21.36,9.91,79.23,1.85,17.58
Cajamarca,-7.16,-78.51,2024,14,20.99,12.57,79.34,1.13,15.82
Cajamarca,-7.16,-78.51,2024,15,21.76,12.16,77.92,2.76,17.07
Cajamarca,-7.16,-78.51,2024,16,20.07,10.92,79.86,3.31,14.87
Cajamarca,-7.16,-78.51,2024,17,21.23,10.87,78.76,2.82,18.4
Cajamarca,-7.16,-78.51,2024,18,21.39,11.17,77.8,3.35,17.97
Cajamarca,-7.16,-78.51,2024,19,22.83,11.37,76.0,3.32,16.7
Cajamarca,-7.16,-78.51,2024,20,21.46,11.31,78.3,2.92,17.27
Cajamarca,-7.16,-78.51,2024,21,23.64,10.95,76.77,2.59,17.74
Cajamarca,-7.16,-78.51,2024,22,23.18,11.68,75.21,3.31,17.37
Cajamarca,-7.16,-78.51,2024,23,22.99,11.5,74.78,2.81,20.54
Cajamarca,-7.16,-78.51,2024,24,22.58,11.18,75.96,2.22,19.57
Cajamarca,-7.16,-78.51,2024,25,23.16,11.34,76.55,2.0,19.39
Cajamarca,-7.16,-78.51,2024,26,23.89,11.01,72.15,2.19,20.39
Cajamarca,-7.16,-78.51,2024,27,22.34,11.09,78.51,2.33,16.44
Cajamarca,-7.16,-78.51,2024,28,21.87,12.16,79.8,2.04,15.74
Cajamarca,-7.16,-78.51,2024,29,23.79,11.73,75.38,1.93,17.96
Cajamarca,-7.16,-78.51,2024,30,24.38,12.03,74.28,1.72,17.79
Cajamarca,-7.16,-78.51,2024,31,22.17,13.41,77.2,1.42,13.39
Cajamarca,-7.16,-78.51,2024,32,21.54,12.75,80.1,2.02,15.26
Cajamarca,-7.16,-78.51,2024,33,19.82,12.27,84.86,1.82,13.63
Cajamarca,-7.16,-78.51,2024,34,18.92,12.15,82.34,2.25,12.34
Cajamarca,-7.16,-78.51,2024,35,22.48,10.42,76.72,2.85,15.11
Cajamarca,-7.16,-78.51,2024,36,20.97,10.73,79.03,1.46,15.89
Cajamarca,-7.16,-78.51,2024,37,23.07,10.61,73.16,1.59,17.86
Cajamarca,-7.16,-78.51,2024,38,22.34,11.52,75.78,2.61,17.32
Cajamarca,-7.16,-78.51,2024,39,21.83,11.05,75.67,2.88,19.83
Cajamarca,-7.16,-78.51,2024,40,23.69,10.66,74.68,2.47,18.39
Cajamarca,-7.16,-78.51,2024,41,23.12,11.15,74.4,1.89,14.25
Cajamarca,-7.16,-78.51,2024,42,22.54,11.85,77.45,1.51,15.74
Cajamarca,-7.16,-78.51,2024,43,22.11,12.05,78.02,1.76,13.37
Cajamarca,-7.16,-78.51,2024,44,21.99,12.11,78.75,1.79,12.43
Cajamarca,-7.16,-78.51,2024,45,23.04,11.93,74.01,2.61,18.22
Cajamarca,-7.16,-78.51,2024,46,22.92,11.71,73.2,3.63,16.93
Cajamarca,-7.16,-78.51,2024,47,21.44,11.45,73.0,3.15,16.98
Cajamarca,-7.16,-78.51,2024,48,22.37,10.81,76.33,2.02,16.66
Cajamarca,-7.16,-78.51,2024,49,22.89,11.72,77.95,1.86,18.33
Cajamarca,-7.16,-78.51,2024,50,20.96,11.33,81.04,2.14,12.81
Cajamarca,-7.16,-78.51,2024,51,19.6,10.43,78.11,3.18,17.83
Cajamarca,-7.16,-78.51,2024,52,20.21,10.78,78.04,4.88,21.39
Cajamarca,-7.16,-78.51,2024,53,20.97,9.95,77.73,4.32,22.44
