Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Cusco,-13.53,-71.97,2023,274,18.41,4.68,71.45,3.02,15.53
Cusco,-13.53,-71.97,2023,275,19.84,6.31,75.98,2.78,19.34
Cusco,-13.53,-71.97,2023,276,11.43,3.53,76.54,2.26,17.3
Cusco,-13.53,-71.97,2023,277,20.41,2.4,70.15,3.2,20.89
Cusco,-13.53,-71.97,2023,278,17.57,5.85,76.11,3.07,18.59
Cusco,-13.53,-71.97,2023,279,16.9,6.01,74.63,2.26,22.13
Cusco,-13.53,-71.97,2023,280,19.4,2.71,72.03,3.25,13.79
Cusco,-13.53,-71.97,2023,281,18.26,5.23,73.81,2.66,17.23
Cusco,-13.53,-71.97,2023,282,16.61,4.4,80.38,2.89,11.2
Cusco,-13.53,-71.97,2023,283,18.84,3.84,68.39,2.92,20.86
Cusco,-13.53,-71.97,2023,284,20.17,6.51,69.17,3.08,24.05
Cusco,-13.53,-71.97,2023,285,16.99,7.55,76.28,3.38,20.41
Cusco,-13.53,-71.97,2023,286,17.24,6.27,74.61,4.49,16.55
Cusco,-13.53,-71.97,2023,287,16.71,4.37,66.31,3.08,21.09
Cusco,-13.53,-71.97,2023,288,17.79,4.69,66.05,3.56,24.72
Cusco,-13.53,-71.97,2023,289,18.87,4.9,71.4,3.16,20.07
Cusco,-13.53,-71.97,2023,290,18.41,4.3,65.69,3.9,23.87
Cusco,-13.53,-71.97,2023,291,18.3,4.13,66.1,3.76,20.53
Cusco,-13.53,-71.97,2023,292,17.71,6.8,70.54,4.22,22.09
Cusco,-13.53,-71.97,2023,293,18.31,4.42,66.41,3.8,19.65
Cusco,-13.53,-71.97,2023,294,18.65,3.72,64.53,3.77,17.9
Cusco,-13.53,-71.97,2023,295,19.59,3.57,62.56,3.82,26.03
Cusco,-13.53,-71.97,2023,296,19.49,6.47,68.61,3.74,22.17
Cusco,-13.53,-71.97,2023,297,17.75,7.4,71.79,3.05,20.48
Cusco,-13.53,-71.97,2023,298,16.75,3.86,70.67,2.43,16.38
Cusco,-13.53,-71.97,2023,299,10.12,5.0,84.71,1.16,18.38
Cusco,-13.53,-71.97,2023,300,16.93,5.86,78.12,3.24,14.64
Cusco,-13.53,-71.97,2023,301,16.45,7.81,80.35,3.24,14.41
Cusco,-13.53,-71.97,2023,302,14.55,5.16,77.75,2.36,19.44
Cusco,-13.53,-71.97,2023,303,18.96,6.04,71.85,2.81,24.25
Cusco,-13.53,-71.97,2023,304,14.34,6.81,76.3,2.32,18.39
Cusco,-13.53,-71.97,2023,305,20.71,6.05,69.94,3.42,18.76
Cusco,-13.53,-71.97,2023,306,16.48,6.94,74.03,2.56,21.45
Cusco,-13.53,-71.97,2023,307,16.52,5.38,77.3,2.91,20.32
Cusco,-13.53,-71.97,2023,308,17.69,7.15,72.11,5.05,14.63
Cusco,-13.53,-71.97,2023,309,18.53,5.1,69.32,3.78,17.3
Cusco,-13.53,-71.97,2023,310,19.31,6.42,69.03,3.85,22.92
Cusco,-13.53,-71.97,2023,311,18.03,7.45,72.64,4.31,19.32
Cusco,-13.53,-71.97,2023,312,20.53,4.7,63.95,4.15,23.6
Cusco,-13.53,-71.97,2023,313,14.23,5.55,76.67,3.85,11.13
Cusco,-13.53,-71.97,2023,314,18.17,3.89,69.64,3.79,13.68
Cusco,-13.53,-71.97,2023,315,19.56,6.65,71.21,3.21,19.59
Cusco,-13.53,-71.97,2023,316,19.05,6.86,72.25,3.71,20.51
Cusco,-13.53,-71.97,2023,317,19.44,7.18,73.11,3.23,20.81
Cusco,-13.53,-71.97,2023,318,18.22,6.0,71.5,3.38,15.22
Cusco,-13.53,-71.97,2023,319,15.06,5.41,80.89,2.1,18.67
Cusco,-13.53,-71.97,2023,320,19.06,4.1,74.66,2.92,20.36
Cusco,-13.53,-71.97,2023,321,17.56,3.83,73.74,2.12,16.52
Cusco,-13.53,-71.97,2023,322,19.43,7.86,74.3,2.52,21.01
Cusco,-13.53,-71.97,2023,323,21.39,4.93,63.27,3.51,15.21
Cusco,-13.53,-71.97,2023,324,16.17,4.74,74.87,2.86,15.3
Cusco,-13.53,-71.97,2023,325,18.41,6.42,72.55,2.67,13.21
Cusco,-13.53,-71.97,2023,326,18.82,5.57,69.39,2.91,19.26
Cusco,-13.53,-71.97,2023,327,12.92,7.06,80.01,2.29,15.09
Cusco,-13.53,-71.97,2023,328,14.37,5.04,80.64,2.15,17.02
Cusco,-13.53,-71.97,2023,329,13.76,3.97,84.54,1.89,11.31
Cusco,-13.53,-71.97,2023,330,17.14,4.36,74.8,2.78,16.38
Cusco,-13.53,-71.97,2023,331,15.24,2.4,78.02,1.94,11.63
Cusco,-13.53,-71.97,2023,332,16.66,4.44,76.21,2.46,14.79
Cusco,-13.53,-71.97,2023,333,11.37,3.55,83.68,2.18,15.15
Cusco,-13.53,-71.97,2023,334,17.02,6.08,78.41,3.68,17.4
Cusco,-13.53,-71.97,2023,335,18.64,5.92,74.04,3.13,13.62
Cusco,-13.53,-71.97,2023,336,18.63,6.08,72.64,2.54,14.99
Cusco,-13.53,-71.97,2023,337,14.35,4.4,84.1,2.2,15.88
Cusco,-13.53,-71.97,2023,338,17.6,2.95,79.02,2.7,21.4
Cusco,-13.53,-71.97,2023,339,12.98,4.11,84.2,2.13,14.1
Cusco,-13.53,-71.97,2023,340,18.32,4.9,78.22,3.0,15.97
Cusco,-13.53,-71.97,2023,341,15.81,3.83,81.3,3.4,20.72
Cusco,-13.53,-71.97,2023,342,16.95,5.72,76.72,3.99,22.47
Cusco,-13.53,-71.97,2023,343,17.48,5.02,74.79,3.06,19.61
Cusco,-13.53,-71.97,2023,344,16.48,3.75,78.49,2.29,19.25
Cusco,-13.53,-71.97,2023,345,11.55,5.06,85.87,1.34,17.98
