Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Huancavelica,-12.79,-74.98,2023,274,15.03,2.59,74.5,4.66,15.94
Huancavelica,-12.79,-74.98,2023,275,16.34,2.09,73.97,2.93,19.25
Huancavelica,-12.79,-74.98,2023,276,14.12,0.49,70.51,2.94,18.54
Huancavelica,-12.79,-74.98,2023,277,16.27,3.33,74.75,4.88,15.08
Huancavelica,-12.79,-74.98,2023,278,14.18,5.02,73.48,4.88,19.4
Huancavelica,-12.79,-74.98,2023,279,16.86,5.23,73.03,3.52,21.72
Huancavelica,-12.79,-74.98,2023,280,11.24,5.76,80.53,3.83,16.47
Huancavelica,-12.79,-74.98,2023,281,15.98,2.51,74.41,3.74,17.83
Huancavelica,-12.79,-74.98,2023,282,13.21,3.04,84.96,4.31,11.06
Huancavelica,-12.79,-74.98,2023,283,15.05,4.02,74.57,6.19,13.8
Huancavelica,-12.79,-74.98,2023,284,16.03,1.78,71.4,5.33,24.78
Huancavelica,-12.79,-74.98,2023,285,15.4,3.53,70.12,5.3,16.59
Huancavelica,-12.79,-74.98,2023,286,13.31,2.94,72.37,5.82,19.04
Huancavelica,-12.79,-74.98,2023,287,13.97,1.92,72.16,7.59,17.24
Huancavelica,-12.79,-74.98,2023,288,13.03,2.15,75.91,7.1,16.82
Huancavelica,-12.79,-74.98,2023,289,15.3,2.13,69.41,5.52,21.03
Huancavelica,-12.79,-74.98,2023,290,13.08,2.02,78.4,6.03,13.0
Huancavelica,-12.79,-74.98,2023,291,13.04,3.44,76.0,5.79,13.52
Huancavelica,-12.79,-74.98,2023,292,11.06,1.98,79.45,5.31,16.0
Huancavelica,-12.79,-74.98,2023,293,14.08,3.36,74.92,5.52,18.86
Huancavelica,-12.79,-74.98,2023,294,13.47,3.3,76.39,6.02,14.38
Huancavelica,-12.79,-74.98,2023,295,13.05,4.01,77.48,4.61,19.0
Huancavelica,-12.79,-74.98,2023,296,14.88,3.03,71.78,4.66,24.68
Huancavelica,-12.79,-74.98,2023,297,15.37,2.13,70.12,4.27,20.22
Huancavelica,-12.79,-74.98,2023,298,14.02,3.4,77.68,3.9,15.13
Huancavelica,-12.79,-74.98,2023,299,13.24,1.78,80.52,4.09,16.27
