Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Huanuco,-9.93,-76.24,2023,274,18.85,7.5,77.72,3.91,14.24
Huanuco,-9.93,-76.24,2023,275,19.15,8.49,76.63,3.96,18.93
Huanuco,-9.93,-76.24,2023,276,19.04,9.02,78.89,4.08,13.84
Huanuco,-9.93,-76.24,2023,277,18.89,9.33,81.19,4.62,17.0
Huanuco,-9.93,-76.24,2023,278,18.68,8.71,77.9,4.13,17.56
Huanuco,-9.93,-76.24,2023,279,20.84,8.53,73.42,3.94,21.72
Huanuco,-9.93,-76.24,2023,280,21.07,8.73,73.55,3.86,18.5
Huanuco,-9.93,-76.24,2023,281,20.35,8.66,74.53,4.16,13.56
Huanuco,-9.93,-76.24,2023,282,19.08,9.15,76.7,5.23,10.34
Huanuco,-9.93,-76.24,2023,283,16.25,8.3,78.81,4.23,14.84
Huanuco,-9.93,-76.24,2023,284,19.69,6.71,71.21,3.27,21.59
Huanuco,-9.93,-76.24,2023,285,18.56,8.02,73.46,3.91,14.86
Huanuco,-9.93,-76.24,2023,286,15.94,9.11,83.54,5.3,13.92
Huanuco,-9.93,-76.24,2023,287,15.6,3.8,79.27,3.02,13.12
Huanuco,-9.93,-76.24,2023,288,17.13,6.97,79.18,4.61,14.29
Huanuco,-9.93,-76.24,2023,289,17.78,6.32,76.26,4.14,17.1
Huanuco,-9.93,-76.24,2023,290,17.45,8.12,78.13,4.81,13.86
Huanuco,-9.93,-76.24,2023,291,16.79,7.97,78.88,4.74,13.3
Huanuco,-9.93,-76.24,2023,292,17.2,7.55,77.59,4.22,15.68
Huanuco,-9.93,-76.24,2023,293,17.14,8.74,79.07,5.23,15.76
Huanuco,-9.93,-76.24,2023,294,18.26,9.02,75.8,5.13,14.42
Huanuco,-9.93,-76.24,2023,295,15.88,8.39,80.4,5.33,18.04
Huanuco,-9.93,-76.24,2023,296,19.45,6.73,69.65,3.27,15.83
Huanuco,-9.93,-76.24,2023,297,18.37,8.15,75.6,3.97,18.39
Huanuco,-9.93,-76.24,2023,298,19.85,8.83,74.37,4.19,12.88
Huanuco,-9.93,-76.24,2023,299,17.71,8.94,80.02,3.75,14.42
Huanuco,-9.93,-76.24,2023,300,17.65,8.82,80.1,4.08,12.38
Huanuco,-9.93,-76.24,2023,301,18.17,8.61,78.7,3.93,11.67
Huanuco,-9.93,-76.24,2023,302,19.03,6.28,75.01,3.29,13.83
Huanuco,-9.93,-76.24,2023,303,19.3,7.43,72.55,3.52,19.46
Huanuco,-9.93,-76.24,2023,304,18.88,7.46,72.57,3.33,13.41
Huanuco,-9.93,-76.24,2023,305,19.9,4.34,70.98,4.09,12.15
Huanuco,-9.93,-76.24,2023,306,16.51,8.37,83.35,3.03,14.24
Huanuco,-9.93,-76.24,2023,307,17.8,7.75,79.3,4.03,15.93
Huanuco,-9.93,-76.24,2023,308,16.39,8.28,82.01,5.55,10.75
Huanuco,-9.93,-76.24,2023,309,16.22,8.11,81.23,4.11,11.26
Huanuco,-9.93,-76.24,2023,310,16.47,6.99,80.03,3.53,14.93
Huanuco,-9.93,-76.24,2023,311,17.77,7.24,78.63,3.84,18.43
Huanuco,-9.93,-76.24,2023,312,19.43,7.69,75.01,4.24,18.89
Huanuco,-9.93,-76.24,2023,313,17.11,7.88,83.31,5.11,12.27
Huanuco,-9.93,-76.24,2023,314,17.76,6.54,77.77,3.4,18.56
Huanuco,-9.93,-76.24,2023,315,19.08,7.34,73.96,3.62,17.61
Huanuco,-9.93,-76.24,2023,316,18.21,8.42,77.64,3.94,18.1
Huanuco,-9.93,-76.24,2023,317,17.62,9.5,77.71,4.4,17.54
Huanuco,-9.93,-76.24,2023,318,18.09,9.79,79.52,4.07,17.67
Huanuco,-9.93,-76.24,2023,319,15.6,8.66,84.89,4.08,14.23
Huanuco,-9.93,-76.24,2023,320,17.87,9.15,82.01,4.08,14.6
Huanuco,-9.93,-76.24,2023,321,19.71,8.6,77.11,3.43,18.55
Huanuco,-9.93,-76.24,2023,322,20.23,8.99,74.17,3.61,18.34
Huanuco,-9.93,-76.24,2023,323,20.25,8.42,74.16,3.44,20.49
Huanuco,-9.93,-76.24,2023,324,15.21,6.46,82.68,3.26,13.54
Huanuco,-9.93,-76.24,2023,325,17.13,6.0,74.9,2.91,12.78
Huanuco,-9.93,-76.24,2023,326,19.5,6.42,69.33,3.06,18.16
Huanuco,-9.93,-76.24,2023,327,18.27,6.59,73.24,3.5,10.28
Huanuco,-9.93,-76.24,2023,328,15.47,7.44,83.68,3.03,15.68
Huanuco,-9.93,-76.24,2023,329,18.11,7.2,79.84,3.62,11.48
Huanuco,-9.93,-76.24,2023,330,16.72,7.83,83.42,4.38,9.82
Huanuco,-9.93,-76.24,2023,331,16.61,8.07,80.51,4.21,17.26
Huanuco,-9.93,-76.24,2023,332,18.24,8.07,78.83,3.98,16.85
Huanuco,-9.93,-76.24,2023,333,18.49,8.28,77.82,4.58,15.81
Huanuco,-9.93,-76.24,2023,334,17.57,8.13,79.35,5.02,15.29
Huanuco,-9.93,-76.24,2023,335,15.81,9.02,84.54,4.81,12.69
Huanuco,-9.93,-76.24,2023,336,17.5,7.72,81.59,3.41,16.19
Huanuco,-9.93,-76.24,2023,337,17.59,8.02,77.92,3.62,17.01
Huanuco,-9.93,-76.24,2023,338,17.5,7.72,76.53,3.34,17.27
Huanuco,-9.93,-76.24,2023,339,14.05,7.78,88.12,3.24,12.44
Huanuco,-9.93,-76.24,2023,340,16.77,7.33,85.44,3.11,14.15
Huanuco,-9.93,-76.24,2023,341,16.57,8.92,86.27,4.33,14.97
Huanuco,-9.93,-76.24,2023,342,14.77,8.43,88.75,4.67,14.83
Huanuco,-9.93,-76.24,2023,343,16.11,7.88,86.44,4.07,15.11
Huanuco,-9.93,-76.24,2023,344,15.02,7.41,85.25,2.79,16.99
Huanuco,-9.93,-76.24,2023,345,17.67,6.61,83.19,2.87,18.8
Huanuco,-9.93,-76.24,2023,346,17.02,8.31,87.67,3.57,17.24
Huanuco,-9.93,-76.24,2023,347,17.29,8.25,86.7,3.69,18.12
Huanuco,-9.93,-76.24,2023,348,15.7,9.39,87.85,2.89,13.25
Huanuco,-9.93,-76.24,2023,349,18.54,8.08,81.97,2.93,17.45
Huanuco,-9.93,-76.24,2023,350,16.8,8.59,84.37,3.65,11.73
Huanuco,-9.93,-76.24,2023,351,15.24,8.35,84.47,3.21,15.47
Huanuco,-9.93,-76.24,2023,352,18.22,8.58,76.98,3.15,17.97
Huanuco,-9.93,-76.24,2023,353,17.88,7.83,77.83,3.07,17.72
Huanuco,-9.93,-76.24,2023,354,14.66,5.08,76.56,2.82,7.23
Huanuco,-9.93,-76.24,2023,355,14.78,7.44,87.61,2.77,19.96
Huanuco,-9.93,-76.24,2023,356,15.89,8.07,84.24,2.56,13.87
Huanuco,-9.93,-76.24,2023,357,15.95,7.18,82.46,2.56,12.93
Huanuco,-9.93,-76.24,2023,358,15.85,7.87,81.51,2.48,19.52
Huanuco,-9.93,-76.24,2023,359,14.62,7.31,82.83,2.61,13.29
Huanuco,-9.93,-76.24,2023,360,15.78,7.32,82.92,3.7,12.38
Huanuco,-9.93,-76.24,2023,361,14.1,7.14,85.29,3.52,7.67
Huanuco,-9.93,-76.24,2023,362,16.28,7.07,82.98,2.96,15.7
Huanuco,-9.93,-76.24,2023,363,15.71,7.96,84.79,3.07,16.59
Huanuco,-9.93,-76.24,2023,364,15.04,8.41,87.35,3.5,15.05
Huanuco,-9.93,-76.24,2023,365,14.68,9.35,90.25,4.55,5.57
Huanuco,-9.93,-76.24,2024,1,16.43,6.71,87.82,2.73,15.69
Huanuco,-9.93,-76.24,2024,2,15.74,7.3,87.11,2.23,12.49
Huanuco,-9.93,-76.24,2024,3,15.95,5.84,81.87,2.81,13.41
Huanuco,-9.93,-76.24,2024,4,15.42,6.96,83.92,2.3,11.28
Huanuco,-9.93,-76.24,2024,5,17.39,6.92,80.72,2.1,16.04
Huanuco,-9.93,-76.24,2024,6,16.1,8.07,86.11,3.28,13.94
Huanuco,-9.93,-76.24,2024,7,17.08,7.55,83.97,3.47,14.53
Huanuco,-9.93,-76.24,2024,8,16.59,7.4,82.18,3.15,14.52
Huanuco,-9.93,-76.24,2024,9,16.29,8.63,85.46,3.51,16.8
Huanuco,-9.93,-76.24,2024,10,18.81,7.96,79.83,3.08,12.44
Huanuco,-9.93,-76.24,2024,11,17.27,8.21,83.1,3.7,19.67
Huanuco,-9.93,-76.24,2024,12,15.47,8.66,84.27,4.16,13.44
Huanuco,-9.93,-76.24,2024,13,17.36,8.26,82.25,3.77,17.33
Huanuco,-9.93,-76.24,2024,14,16.99,8.33,85.74,3.25,12.41
Huanuco,-9.93,-76.24,2024,15,15.32,7.74,88.2,3.77,15.13
Huanuco,-9.93,-76.24,2024,16,16.13,7.94,87.94,3.69,16.95
Huanuco,-9.93,-76.24,2024,17,16.37,7.98,84.83,4.0,17.26
Huanuco,-9.93,-76.24,2024,18,15.57,8.41,85.5,3.54,14.62
Huanuco,-9.93,-76.24,2024,19,16.59,8.03,84.39,3.86,15.96
Huanuco,-9.93,-76.24,2024,20,16.55,8.35,86.43,3.7,15.2
Huanuco,-9.93,-76.24,2024,21,16.76,8.18,84.04,3.4,10.1
Huanuco,-9.93,-76.24,2024,22,16.76,8.74,86.02,4.28,15.64
Huanuco,-9.93,-76.24,2024,23,16.5,8.78,85.25,3.95,18.51
Huanuco,-9.93,-76.24,2024,24,18.88,8.08,80.58,3.65,17.69
Huanuco,-9.93,-76.24,2024,25,19.42,8.54,79.23,3.55,18.53
Huanuco,-9.93,-76.24,2024,26,20.34,8.29,77.9,2.89,17.46
Huanuco,-9.93,-76.24,2024,27,19.01,7.34,78.22,3.96,17.33
Huanuco,-9.93,-76.24,2024,28,16.9,9.12,84.0,3.68,11.49
Huanuco,-9.93,-76.24,2024,29,17.93,8.52,82.44,3.1,15.28
Huanuco,-9.93,-76.24,2024,30,17.42,8.76,82.5,3.19,15.24
Huanuco,-9.93,-76.24,2024,31,15.95,8.47,79.59,3.71,12.39
Huanuco,-9.93,-76.24,2024,32,15.53,7.78,80.16,2.69,15.14
Huanuco,-9.93,-76.24,2024,33,16.65,8.38,84.88,3.6,15.53
Huanuco,-9.93,-76.24,2024,34,16.27,8.17,86.37,5.07,15.59
Huanuco,-9.93,-76.24,2024,35,16.56,7.56,80.71,3.41,15.62
Huanuco,-9.93,-76.24,2024,36,17.16,6.98,78.54,3.84,17.49
Huanuco,-9.93,-76.24,2024,37,17.88,6.58,79.51,3.88,19.91
Huanuco,-9.93,-76.24,2024,38,16.3,8.76,81.55,4.9,15.48
Huanuco,-9.93,-76.24,2024,39,17.13,7.6,80.45,3.5,18.68
Huanuco,-9.93,-76.24,2024,40,17.75,6.87,78.71,2.98,16.64
Huanuco,-9.93,-76.24,2024,41,18.6,6.73,73.4,3.34,16.8
Huanuco,-9.93,-76.24,2024,42,18.21,8.68,80.89,3.92,18.29
Huanuco,-9.93,-76.24,2024,43,16.37,7.93,83.48,3.54,14.97
Huanuco,-9.93,-76.24,2024,44,16.84,8.38,84.4,4.12,13.08
Huanuco,-9.93,-76.24,2024,45,16.43,7.43,85.14,4.45,12.85
Huanuco,-9.93,-76.24,2024,46,17.25,7.92,85.2,4.36,15.97
Huanuco,-9.93,-76.24,2024,47,17.83,8.8,82.36,4.08,19.03
Huanuco,-9.93,-76.24,2024,48,17.07,9.29,85.13,4.39,9.93
Huanuco,-9.93,-76.24,2024,49,16.11,8.3,82.23,2.68,19.56
Huanuco,-9.93,-76.24,2024,50,15.46,8.59,84.88,2.14,16.22
Huanuco,-9.93,-76.24,2024,51,18.53,7.64,73.44,2.71,19.71
Huanuco,-9.93,-76.24,2024,52,20.7,6.65,65.55,2.68,18.37
Huanuco,-9.93,-76.24,2024,53,20.51,6.64,71.79,2.83,17.13
Huanuco,-9.93,-76.24,2024,54,16.96,5.11,80.05,3.12,15.61
Huanuco,-9.93,-76.24,2024,55,15.72,5.31,83.51,2.75,13.85
Huanuco,-9.93,-76.24,2024,56,15.39,5.99,79.48,2.64,9.9
Huanuco,-9.93,-76.24,2024,57,15.63,8.33,83.55,4.1,11.68
Huanuco,-9.93,-76.24,2024,58,17.13,7.21,82.63,4.24,16.51
