Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Ica,-14.07,-75.73,2023,274,25.01,15.46,62.89,3.89,24.24
Ica,-14.07,-75.73,2023,275,26.42,15.3,60.53,3.75,25.92
Ica,-14.07,-75.73,2023,276,25.94,15.13,53.4,4.06,25.85
Ica,-14.07,-75.73,2023,277,23.37,13.98,60.79,3.93,24.3
Ica,-14.07,-75.73,2023,278,24.01,14.62,63.12,3.43,26.3
Ica,-14.07,-75.73,2023,279,26.04,14.24,63.47,3.9,23.1
Ica,-14.07,-75.73,2023,280,25.56,14.78,60.68,4.23,25.5
Ica,-14.07,-75.73,2023,281,24.51,15.62,59.74,3.45,27.05
Ica,-14.07,-75.73,2023,282,24.4,16.52,63.4,2.8,24.43
Ica,-14.07,-75.73,2023,283,23.91,15.83,63.19,4.21,26.32
Ica,-14.07,-75.73,2023,284,25.94,15.9,56.37,4.75,26.78
Ica,-14.07,-75.73,2023,285,25.3,16.26,57.98,3.97,26.26
Ica,-14.07,-75.73,2023,286,26.02,16.62,58.56,3.21,25.87
Ica,-14.07,-75.73,2023,287,25.29,16.92,55.1,3.59,26.93
Ica,-14.07,-75.73,2023,288,25.86,16.35,56.94,3.79,26.74
Ica,-14.07,-75.73,2023,289,25.41,16.02,60.58,3.62,26.83
Ica,-14.07,-75.73,2023,290,22.82,16.28,70.61,3.33,19.16
Ica,-14.07,-75.73,2023,291,25.39,15.84,62.18,4.01,24.38
Ica,-14.07,-75.73,2023,292,25.33,16.85,59.92,3.46,25.57
Ica,-14.07,-75.73,2023,293,25.04,16.58,59.84,4.1,21.32
Ica,-14.07,-75.73,2023,294,26.86,16.02,60.97,4.23,21.19
Ica,-14.07,-75.73,2023,295,25.63,16.02,67.43,3.55,24.96
Ica,-14.07,-75.73,2023,296,25.66,16.54,57.98,4.88,26.06
Ica,-14.07,-75.73,2023,297,26.07,16.51,59.4,4.11,25.29
Ica,-14.07,-75.73,2023,298,25.53,15.29,60.73,3.73,18.49
Ica,-14.07,-75.73,2023,299,23.58,14.84,64.62,3.45,26.8
Ica,-14.07,-75.73,2023,300,23.17,12.92,70.03,4.21,17.62
Ica,-14.07,-75.73,2023,301,24.06,13.23,63.06,3.61,19.18
Ica,-14.07,-75.73,2023,302,26.35,14.73,56.37,4.26,27.52
Ica,-14.07,-75.73,2023,303,27.96,15.1,50.21,4.27,29.51
Ica,-14.07,-75.73,2023,304,26.71,14.38,46.13,3.74,29.84
Ica,-14.07,-75.73,2023,305,28.17,14.23,42.55,3.76,26.81
Ica,-14.07,-75.73,2023,306,25.53,13.35,48.79,4.11,30.37
Ica,-14.07,-75.73,2023,307,24.14,13.19,56.11,4.08,29.91
Ica,-14.07,-75.73,2023,308,24.37,14.17,52.21,3.74,28.92
Ica,-14.07,-75.73,2023,309,26.27,14.4,55.55,3.98,25.5
Ica,-14.07,-75.73,2023,310,25.8,15.33,60.88,4.06,27.25
Ica,-14.07,-75.73,2023,311,25.93,15.43,57.77,4.8,28.61
Ica,-14.07,-75.73,2023,312,26.01,15.88,60.7,4.1,28.02
Ica,-14.07,-75.73,2023,313,25.35,15.38,62.57,3.28,16.56
Ica,-14.07,-75.73,2023,314,26.2,16.2,56.09,3.83,24.28
Ica,-14.07,-75.73,2023,315,26.75,16.42,49.06,4.03,24.08
Ica,-14.07,-75.73,2023,316,27.2,16.24,48.82,4.66,28.07
Ica,-14.07,-75.73,2023,317,26.52,15.16,54.54,4.29,29.31
Ica,-14.07,-75.73,2023,318,27.93,15.42,50.43,4.0,30.17
Ica,-14.07,-75.73,2023,319,24.89,16.06,51.43,4.11,27.85
Ica,-14.07,-75.73,2023,320,25.05,15.63,54.98,3.79,28.38
Ica,-14.07,-75.73,2023,321,25.72,16.5,54.83,4.08,26.31
Ica,-14.07,-75.73,2023,322,26.78,15.8,43.99,3.65,29.5
Ica,-14.07,-75.73,2023,323,26.31,14.44,46.03,3.93,22.03
Ica,-14.07,-75.73,2023,324,25.3,13.89,54.4,3.46,23.76
Ica,-14.07,-75.73,2023,325,27.0,13.46,54.45,3.72,25.89
Ica,-14.07,-75.73,2023,326,25.73,13.82,51.37,3.82,28.97
Ica,-14.07,-75.73,2023,327,25.58,14.62,49.33,3.64,29.15
Ica,-14.07,-75.73,2023,328,27.83,15.04,50.64,3.95,28.12
Ica,-14.07,-75.73,2023,329,26.51,15.35,50.74,4.01,23.92
Ica,-14.07,-75.73,2023,330,26.68,15.46,55.81,3.78,28.81
Ica,-14.07,-75.73,2023,331,26.74,17.67,51.64,3.57,25.43
Ica,-14.07,-75.73,2023,332,26.78,16.14,49.95,3.5,29.38
Ica,-14.07,-75.73,2023,333,26.56,15.33,51.82,4.02,28.18
Ica,-14.07,-75.73,2023,334,20.44,15.92,67.06,2.79,27.31
Ica,-14.07,-75.73,2023,335,24.86,15.94,60.33,3.11,28.46
Ica,-14.07,-75.73,2023,336,23.43,16.66,58.4,3.13,29.57
Ica,-14.07,-75.73,2023,337,26.58,16.11,55.49,3.61,29.68
Ica,-14.07,-75.73,2023,338,26.75,15.45,54.3,3.95,28.35
Ica,-14.07,-75.73,2023,339,23.32,14.24,66.92,3.29,28.3
Ica,-14.07,-75.73,2023,340,23.66,15.05,61.77,3.37,28.67
Ica,-14.07,-75.73,2023,341,23.8,14.97,66.39,3.95,28.66
Ica,-14.07,-75.73,2023,342,25.12,15.56,67.71,4.13,27.55
Ica,-14.07,-75.73,2023,343,24.59,16.37,64.58,2.94,22.1
Ica,-14.07,-75.73,2023,344,25.71,16.58,64.64,3.4,25.35
Ica,-14.07,-75.73,2023,345,25.7,17.5,65.35,3.82,26.86
Ica,-14.07,-75.73,2023,346,25.72,17.06,66.77,3.6,28.17
Ica,-14.07,-75.73,2023,347,25.92,16.73,66.24,3.4,27.44
Ica,-14.07,-75.73,2023,348,26.3,16.62,65.76,3.07,28.72
Ica,-14.07,-75.73,2023,349,25.67,15.85,64.1,3.66,27.07
Ica,-14.07,-75.73,2023,350,26.32,15.58,67.52,3.58,24.82
Ica,-14.07,-75.73,2023,351,26.09,15.89,67.38,4.04,26.36
Ica,-14.07,-75.73,2023,352,27.36,15.64,64.85,4.04,27.73
Ica,-14.07,-75.73,2023,353,26.94,16.54,61.79,4.06,26.96
Ica,-14.07,-75.73,2023,354,25.17,16.42,62.64,4.22,20.77
Ica,-14.07,-75.73,2023,355,25.88,15.32,66.57,4.76,25.67
Ica,-14.07,-75.73,2023,356,26.36,16.56,64.42,4.38,26.84
Ica,-14.07,-75.73,2023,357,25.45,16.15,66.85,4.65,20.94
Ica,-14.07,-75.73,2023,358,26.38,16.03,65.32,4.88,22.74
Ica,-14.07,-75.73,2023,359,25.86,16.54,69.65,4.09,22.84
Ica,-14.07,-75.73,2023,360,25.46,16.64,67.98,3.99,23.68
Ica,-14.07,-75.73,2023,361,21.45,16.81,74.22,3.09,22.93
Ica,-14.07,-75.73,2023,362,25.97,15.87,68.08,3.99,23.84
Ica,-14.07,-75.73,2023,363,24.73,16.08,65.87,4.02,21.52
Ica,-14.07,-75.73,2023,364,23.92,16.46,67.59,3.91,23.31
Ica,-14.07,-75.73,2023,365,23.03,16.18,73.78,3.46,24.51
Ica,-14.07,-75.73,2024,1,23.61,15.71,75.65,4.33,25.49
Ica,-14.07,-75.73,2024,2,23.43,15.69,74.86,3.69,23.4
Ica,-14.07,-75.73,2024,3,23.19,14.81,74.41,3.43,19.88
Ica,-14.07,-75.73,2024,4,24.25,16.73,76.83,2.19,23.7
Ica,-14.07,-75.73,2024,5,26.55,16.0,66.45,4.25,24.07
Ica,-14.07,-75.73,2024,6,23.71,15.96,76.29,4.42,24.0
Ica,-14.07,-75.73,2024,7,22.3,16.19,78.99,3.7,27.34
Ica,-14.07,-75.73,2024,8,24.11,16.28,75.81,3.79,24.25
Ica,-14.07,-75.73,2024,9,26.26,15.63,71.56,4.28,25.03
Ica,-14.07,-75.73,2024,10,25.6,16.21,69.56,4.16,24.15
Ica,-14.07,-75.73,2024,11,22.88,16.05,72.87,3.74,25.1
Ica,-14.07,-75.73,2024,12,20.94,16.0,83.47,3.26,19.34
Ica,-14.07,-75.73,2024,13,24.05,15.73,73.11,4.02,24.18
