Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Junin Huancayo,-12.07,-75.2,2023,274,18.45,5.46,75.8,3.34,13.4
Junin Huancayo,-12.07,-75.2,2023,275,19.57,7.64,75.89,3.42,16.07
Junin Huancayo,-12.07,-75.2,2023,276,17.96,2.9,77.48,2.97,17.62
Junin Huancayo,-12.07,-75.2,2023,277,18.86,7.84,79.0,3.98,15.12
Junin Huancayo,-12.07,-75.2,2023,278,18.59,7.95,76.54,3.35,19.47
Junin Huancayo,-12.07,-75.2,2023,279,21.09,7.37,70.7,3.42,18.96
Junin Huancayo,-12.07,-75.2,2023,280,20.09,8.15,72.57,3.59,18.58
Junin Huancayo,-12.07,-75.2,2023,281,20.52,8.61,72.17,3.8,20.84
Junin Huancayo,-12.07,-75.2,2023,282,17.74,7.63,76.36,4.58,11.74
Junin Huancayo,-12.07,-75.2,2023,283,18.22,7.26,74.87,4.36,16.32
Junin Huancayo,-12.07,-75.2,2023,284,19.42,6.21,72.46,3.75,22.16
Junin Huancayo,-12.07,-75.2,2023,285,18.31,7.14,71.53,3.83,20.09
Junin Huancayo,-12.07,-75.2,2023,286,18.94,6.72,72.57,5.05,20.23
Junin Huancayo,-12.07,-75.2,2023,287,17.52,5.07,70.65,4.83,17.36
Junin Huancayo,-12.07,-75.2,2023,288,16.01,6.58,77.68,4.86,18.48
Junin Huancayo,-12.07,-75.2,2023,289,18.45,6.63,73.51,4.33,19.85
Junin Huancayo,-12.07,-75.2,2023,290,15.17,7.2,79.26,4.89,13.16
Junin Huancayo,-12.07,-75.2,2023,291,16.74,6.44,75.0,4.61,15.0
Junin Huancayo,-12.07,-75.2,2023,292,15.58,6.44,76.38,3.83,16.68
Junin Huancayo,-12.07,-75.2,2023,293,17.26,6.44,76.31,4.55,17.19
Junin Huancayo,-12.07,-75.2,2023,294,17.19,7.03,76.9,4.67,15.44
Junin Huancayo,-12.07,-75.2,2023,295,15.33,7.28,77.4,4.59,19.25
Junin Huancayo,-12.07,-75.2,2023,296,19.15,6.22,71.06,3.78,21.03
Junin Huancayo,-12.07,-75.2,2023,297,19.49,7.0,70.11,3.77,19.01
Junin Huancayo,-12.07,-75.2,2023,298,18.56,3.68,72.8,2.89,14.62
Junin Huancayo,-12.07,-75.2,2023,299,17.93,5.9,74.71,3.18,18.28
Junin Huancayo,-12.07,-75.2,2023,300,18.79,7.64,74.43,3.36,21.63
Junin Huancayo,-12.07,-75.2,2023,301,17.63,3.2,74.25,3.62,19.92
