Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
La Libertad Trujillo,-8.12,-79.03,2023,274,27.42,14.85,59.4,3.24,21.17
La Libertad Trujillo,-8.12,-79.03,2023,275,25.31,15.37,68.02,3.3,21.9
La Libertad Trujillo,-8.12,-79.03,2023,276,25.49,14.2,67.39,3.28,19.51
La Libertad Trujillo,-8.12,-79.03,2023,277,21.81,14.54,76.58,2.62,19.63
La Libertad Trujillo,-8.12,-79.03,2023,278,23.46,15.67,73.14,3.1,20.35
La Libertad Trujillo,-8.12,-79.03,2023,279,23.81,14.26,71.72,3.5,22.09
La Libertad Trujillo,-8.12,-79.03,2023,280,26.0,15.7,67.23,3.05,16.2
La Libertad Trujillo,-8.12,-79.03,2023,281,23.35,15.98,71.51,2.68,20.37
La Libertad Trujillo,-8.12,-79.03,2023,282,25.14,15.99,71.52,2.87,16.99
La Libertad Trujillo,-8.12,-79.03,2023,283,24.01,15.88,68.8,2.52,23.5
La Libertad Trujillo,-8.12,-79.03,2023,284,28.02,13.48,56.29,3.1,22.24
La Libertad Trujillo,-8.12,-79.03,2023,285,27.22,14.42,57.7,3.08,20.23
La Libertad Trujillo,-8.12,-79.03,2023,286,23.61,16.29,68.08,2.55,18.74
La Libertad Trujillo,-8.12,-79.03,2023,287,25.07,15.01,65.88,2.36,22.45
La Libertad Trujillo,-8.12,-79.03,2023,288,24.1,15.9,66.17,2.57,18.35
La Libertad Trujillo,-8.12,-79.03,2023,289,26.5,14.2,64.87,2.92,22.76
La Libertad Trujillo,-8.12,-79.03,2023,290,26.18,14.44,65.48,3.07,21.9
La Libertad Trujillo,-8.12,-79.03,2023,291,25.64,15.17,65.78,3.27,17.37
La Libertad Trujillo,-8.12,-79.03,2023,292,24.81,16.42,64.38,2.55,10.0
La Libertad Trujillo,-8.12,-79.03,2023,293,26.93,15.26,60.41,2.98,17.05
La Libertad Trujillo,-8.12,-79.03,2023,294,25.15,16.16,66.8,2.61,18.59
La Libertad Trujillo,-8.12,-79.03,2023,295,25.93,14.58,67.96,3.3,23.13
La Libertad Trujillo,-8.12,-79.03,2023,296,26.21,15.42,65.17,3.3,15.18
La Libertad Trujillo,-8.12,-79.03,2023,297,24.07,16.28,69.32,2.82,17.54
