Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Lambayeque Chiclayo,-6.77,-79.84,2023,274,22.06,19.39,88.64,5.82,18.58
Lambayeque Chiclayo,-6.77,-79.84,2023,275,22.39,19.42,88.98,5.17,19.9
Lambayeque Chiclayo,-6.77,-79.84,2023,276,22.25,19.28,89.99,4.62,14.05
Lambayeque Chiclayo,-6.77,-79.84,2023,277,21.48,19.31,90.77,4.53,15.3
Lambayeque Chiclayo,-6.77,-79.84,2023,278,21.69,19.02,89.14,4.5,17.31
Lambayeque Chiclayo,-6.77,-79.84,2023,279,22.21,19.37,88.0,5.59,15.0
Lambayeque Chiclayo,-6.77,-79.84,2023,280,22.29,19.41,86.94,5.27,21.97
Lambayeque Chiclayo,-6.77,-79.84,2023,281,22.63,19.36,87.98,5.02,17.11
Lambayeque Chiclayo,-6.77,-79.84,2023,282,21.51,19.24,90.29,5.7,17.52
Lambayeque Chiclayo,-6.77,-79.84,2023,283,21.44,19.14,92.09,5.68,15.07
Lambayeque Chiclayo,-6.77,-79.84,2023,284,21.68,18.85,89.38,5.59,19.55
Lambayeque Chiclayo,-6.77,-79.84,2023,285,21.67,18.63,88.63,4.81,21.99
Lambayeque Chiclayo,-6.77,-79.84,2023,286,21.8,19.03,87.86,4.13,20.97
Lambayeque Chiclayo,-6.77,-79.84,2023,287,21.73,18.9,90.51,5.3,16.49
Lambayeque Chiclayo,-6.77,-79.84,2023,288,22.06,19.14,89.96,5.0,18.66
Lambayeque Chiclayo,-6.77,-79.84,2023,289,21.81,18.96,89.63,4.74,19.5
Lambayeque Chiclayo,-6.77,-79.84,2023,290,21.77,19.02,89.37,5.53,18.05
Lambayeque Chiclayo,-6.77,-79.84,2023,291,21.7,19.14,88.97,6.12,21.46
Lambayeque Chiclayo,-6.77,-79.84,2023,292,21.46,18.94,91.01,5.19,17.23
Lambayeque Chiclayo,-6.77,-79.84,2023,293,21.68,19.05,89.86,4.61,19.26
Lambayeque Chiclayo,-6.77,-79.84,2023,294,21.75,19.03,90.29,4.08,17.04
Lambayeque Chiclayo,-6.77,-79.84,2023,295,22.57,19.54,87.73,4.72,18.6
Lambayeque Chiclayo,-6.77,-79.84,2023,296,22.5,19.64,87.82,5.68,19.83
Lambayeque Chiclayo,-6.77,-79.84,2023,297,22.24,19.72,89.0,5.68,18.42
Lambayeque Chiclayo,-6.77,-79.84,2023,298,21.86,19.6,90.24,4.32,13.99
Lambayeque Chiclayo,-6.77,-79.84,2023,299,21.8,19.31,90.06,4.08,14.79
Lambayeque Chiclayo,-6.77,-79.84,2023,300,22.22,19.14,88.07,4.66,16.69
Lambayeque Chiclayo,-6.77,-79.84,2023,301,20.95,19.39,90.03,5.14,16.17
Lambayeque Chiclayo,-6.77,-79.84,2023,302,22.82,19.17,86.63,5.54,19.45
Lambayeque Chiclayo,-6.77,-79.84,2023,303,23.02,19.47,86.75,5.4,21.39
Lambayeque Chiclayo,-6.77,-79.84,2023,304,22.44,19.68,87.78,5.22,18.13
Lambayeque Chiclayo,-6.77,-79.84,2023,305,22.32,19.06,87.24,4.77,20.81
Lambayeque Chiclayo,-6.77,-79.84,2023,306,22.23,18.5,86.96,5.19,18.56
Lambayeque Chiclayo,-6.77,-79.84,2023,307,21.68,18.17,87.16,4.36,26.89
Lambayeque Chiclayo,-6.77,-79.84,2023,308,21.24,18.16,88.45,4.39,19.87
Lambayeque Chiclayo,-6.77,-79.84,2023,309,22.15,18.94,87.88,4.93,15.25
Lambayeque Chiclayo,-6.77,-79.84,2023,310,21.72,19.21,88.98,5.01,18.15
Lambayeque Chiclayo,-6.77,-79.84,2023,311,21.97,19.16,88.89,5.49,23.21
Lambayeque Chiclayo,-6.77,-79.84,2023,312,21.65,19.01,89.68,5.62,21.75
Lambayeque Chiclayo,-6.77,-79.84,2023,313,21.63,18.98,88.87,5.39,22.95
Lambayeque Chiclayo,-6.77,-79.84,2023,314,22.0,19.11,87.87,5.21,23.09
Lambayeque Chiclayo,-6.77,-79.84,2023,315,22.4,19.47,87.93,5.41,21.0
Lambayeque Chiclayo,-6.77,-79.84,2023,316,22.62,19.35,88.88,5.06,21.7
Lambayeque Chiclayo,-6.77,-79.84,2023,317,22.05,19.26,89.58,5.43,22.57
Lambayeque Chiclayo,-6.77,-79.84,2023,318,21.33,19.6,91.87,4.96,21.22
Lambayeque Chiclayo,-6.77,-79.84,2023,319,22.74,19.55,88.38,5.19,12.65
Lambayeque Chiclayo,-6.77,-79.84,2023,320,22.3,19.64,88.78,6.89,18.46
Lambayeque Chiclayo,-6.77,-79.84,2023,321,22.38,19.72,89.89,5.56,19.17
Lambayeque Chiclayo,-6.77,-79.84,2023,322,21.29,19.52,91.64,4.22,10.31
Lambayeque Chiclayo,-6.77,-79.84,2023,323,22.58,19.53,88.45,4.36,16.7
Lambayeque Chiclayo,-6.77,-79.84,2023,324,22.81,19.37,86.87,4.58,14.86
Lambayeque Chiclayo,-6.77,-79.84,2023,325,22.41,19.1,87.95,4.47,18.86
Lambayeque Chiclayo,-6.77,-79.84,2023,326,22.61,18.84,88.25,4.44,26.15
Lambayeque Chiclayo,-6.77,-79.84,2023,327,23.06,19.08,87.43,3.96,22.65
Lambayeque Chiclayo,-6.77,-79.84,2023,328,22.99,19.6,86.55,4.91,21.01
Lambayeque Chiclayo,-6.77,-79.84,2023,329,22.4,19.21,89.16,5.12,21.18
Lambayeque Chiclayo,-6.77,-79.84,2023,330,21.83,19.17,90.57,4.86,18.46
Lambayeque Chiclayo,-6.77,-79.84,2023,331,22.39,19.37,89.76,5.17,20.13
Lambayeque Chiclayo,-6.77,-79.84,2023,332,22.31,19.54,89.51,5.43,21.16
Lambayeque Chiclayo,-6.77,-79.84,2023,333,21.76,19.48,91.34,5.04,21.29
Lambayeque Chiclayo,-6.77,-79.84,2023,334,22.15,19.73,90.74,4.52,20.88
Lambayeque Chiclayo,-6.77,-79.84,2023,335,22.49,19.72,89.36,6.38,19.12
Lambayeque Chiclayo,-6.77,-79.84,2023,336,22.34,19.74,90.15,5.63,23.41
Lambayeque Chiclayo,-6.77,-79.84,2023,337,22.24,19.69,91.17,5.06,20.31
Lambayeque Chiclayo,-6.77,-79.84,2023,338,21.77,19.59,90.19,5.25,20.82
Lambayeque Chiclayo,-6.77,-79.84,2023,339,20.91,19.47,93.16,5.5,16.23
Lambayeque Chiclayo,-6.77,-79.84,2023,340,22.7,19.35,89.97,5.51,18.51
Lambayeque Chiclayo,-6.77,-79.84,2023,341,21.27,19.69,93.0,4.44,18.93
Lambayeque Chiclayo,-6.77,-79.84,2023,342,22.36,19.72,91.05,5.82,20.39
Lambayeque Chiclayo,-6.77,-79.84,2023,343,22.59,19.95,89.09,5.74,21.51
Lambayeque Chiclayo,-6.77,-79.84,2023,344,22.68,20.03,88.21,5.63,23.73
Lambayeque Chiclayo,-6.77,-79.84,2023,345,22.87,20.06,89.15,5.17,23.42
Lambayeque Chiclayo,-6.77,-79.84,2023,346,23.02,20.36,89.93,5.3,22.11
Lambayeque Chiclayo,-6.77,-79.84,2023,347,23.07,20.43,89.91,5.25,20.41
Lambayeque Chiclayo,-6.77,-79.84,2023,348,23.02,20.4,90.26,4.3,16.61
Lambayeque Chiclayo,-6.77,-79.84,2023,349,22.99,20.19,90.22,3.94,18.4
Lambayeque Chiclayo,-6.77,-79.84,2023,350,22.96,20.37,91.05,4.08,15.15
Lambayeque Chiclayo,-6.77,-79.84,2023,351,22.9,20.85,90.36,4.09,18.91
Lambayeque Chiclayo,-6.77,-79.84,2023,352,23.32,20.54,89.59,4.34,19.56
Lambayeque Chiclayo,-6.77,-79.84,2023,353,23.7,20.33,88.66,4.02,21.52
Lambayeque Chiclayo,-6.77,-79.84,2023,354,23.98,20.39,87.31,4.34,15.77
Lambayeque Chiclayo,-6.77,-79.84,2023,355,23.32,20.12,87.61,4.72,21.35
Lambayeque Chiclayo,-6.77,-79.84,2023,356,22.47,20.52,90.22,4.88,13.38
Lambayeque Chiclayo,-6.77,-79.84,2023,357,22.98,20.38,89.26,4.58,13.4
Lambayeque Chiclayo,-6.77,-79.84,2023,358,23.76,20.77,88.8,5.25,21.47
Lambayeque Chiclayo,-6.77,-79.84,2023,359,23.27,21.24,92.06,3.47,10.91
Lambayeque Chiclayo,-6.77,-79.84,2023,360,22.52,21.07,93.1,3.47,12.65
Lambayeque Chiclayo,-6.77,-79.84,2023,361,22.11,20.86,94.44,2.63,7.89
Lambayeque Chiclayo,-6.77,-79.84,2023,362,23.13,20.97,92.39,2.91,14.88
Lambayeque Chiclayo,-6.77,-79.84,2023,363,24.22,21.04,89.26,4.26,18.42
Lambayeque Chiclayo,-6.77,-79.84,2023,364,23.7,21.14,90.76,3.5,16.69
Lambayeque Chiclayo,-6.77,-79.84,2023,365,24.11,20.87,89.72,3.97,17.17
Lambayeque Chiclayo,-6.77,-79.84,2024,1,24.25,21.09,89.24,4.23,19.39
Lambayeque Chiclayo,-6.77,-79.84,2024,2,24.02,20.97,90.32,3.56,19.14
Lambayeque Chiclayo,-6.77,-79.84,2024,3,23.98,21.3,90.26,3.75,14.85
