Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Lima Metropolitana,-12.05,-77.04,2023,274,23.49,15.5,67.53,3.58,22.26
Lima Metropolitana,-12.05,-77.04,2023,275,22.26,15.97,73.94,3.02,21.18
Lima Metropolitana,-12.05,-77.04,2023,276,22.96,15.43,69.56,4.01,18.04
Lima Metropolitana,-12.05,-77.04,2023,277,22.0,14.99,72.99,3.43,12.87
Lima Metropolitana,-12.05,-77.04,2023,278,22.93,14.63,70.52,3.57,22.07
Lima Metropolitana,-12.05,-77.04,2023,279,22.8,15.13,73.37,3.56,16.91
Lima Metropolitana,-12.05,-77.04,2023,280,23.03,15.7,70.21,3.63,13.99
Lima Metropolitana,-12.05,-77.04,2023,281,23.79,15.69,69.43,3.45,15.79
Lima Metropolitana,-12.05,-77.04,2023,282,21.85,16.76,73.78,2.9,16.16
Lima Metropolitana,-12.05,-77.04,2023,283,23.67,16.3,69.62,3.67,21.22
Lima Metropolitana,-12.05,-77.04,2023,284,24.55,15.23,64.47,4.0,17.7
Lima Metropolitana,-12.05,-77.04,2023,285,24.38,15.61,62.48,3.45,21.49
Lima Metropolitana,-12.05,-77.04,2023,286,23.37,16.51,62.65,2.84,21.62
Lima Metropolitana,-12.05,-77.04,2023,287,23.49,15.33,65.04,3.15,21.87
Lima Metropolitana,-12.05,-77.04,2023,288,23.65,16.37,68.28,2.95,13.42
Lima Metropolitana,-12.05,-77.04,2023,289,23.82,16.11,70.44,3.16,12.83
Lima Metropolitana,-12.05,-77.04,2023,290,21.82,15.82,73.62,3.16,17.88
Lima Metropolitana,-12.05,-77.04,2023,291,21.57,16.29,72.34,3.15,14.56
Lima Metropolitana,-12.05,-77.04,2023,292,23.84,16.61,68.01,3.15,15.95
Lima Metropolitana,-12.05,-77.04,2023,293,22.94,16.12,71.29,3.3,15.4
Lima Metropolitana,-12.05,-77.04,2023,294,22.4,16.11,70.92,3.06,14.08
Lima Metropolitana,-12.05,-77.04,2023,295,20.67,16.1,78.1,2.56,15.3
Lima Metropolitana,-12.05,-77.04,2023,296,22.66,16.51,69.44,3.56,12.67
Lima Metropolitana,-12.05,-77.04,2023,297,23.16,16.3,69.65,3.13,12.83
Lima Metropolitana,-12.05,-77.04,2023,298,20.83,16.31,75.83,2.79,15.6
Lima Metropolitana,-12.05,-77.04,2023,299,21.57,15.25,75.23,3.3,22.96
Lima Metropolitana,-12.05,-77.04,2023,300,20.95,14.35,78.07,3.48,16.31
Lima Metropolitana,-12.05,-77.04,2023,301,20.77,14.08,75.45,3.3,22.18
Lima Metropolitana,-12.05,-77.04,2023,302,22.63,15.68,71.67,3.73,22.41
Lima Metropolitana,-12.05,-77.04,2023,303,23.23,15.85,67.44,3.81,25.24
Lima Metropolitana,-12.05,-77.04,2023,304,23.49,15.78,63.31,3.74,18.28
Lima Metropolitana,-12.05,-77.04,2023,305,22.16,15.51,58.52,3.51,13.49
Lima Metropolitana,-12.05,-77.04,2023,306,22.03,14.89,68.61,3.72,18.22
Lima Metropolitana,-12.05,-77.04,2023,307,22.92,14.98,70.28,3.66,21.62
Lima Metropolitana,-12.05,-77.04,2023,308,23.01,14.99,69.76,3.55,24.1
Lima Metropolitana,-12.05,-77.04,2023,309,22.73,15.65,69.57,3.12,19.79
Lima Metropolitana,-12.05,-77.04,2023,310,23.14,16.16,69.77,3.54,15.99
Lima Metropolitana,-12.05,-77.04,2023,311,24.48,16.32,67.65,3.7,20.27
Lima Metropolitana,-12.05,-77.04,2023,312,24.76,15.68,66.48,3.64,18.25
Lima Metropolitana,-12.05,-77.04,2023,313,23.02,15.57,69.59,2.94,17.69
Lima Metropolitana,-12.05,-77.04,2023,314,24.2,16.65,63.77,3.35,22.09
Lima Metropolitana,-12.05,-77.04,2023,315,24.61,16.03,61.45,3.5,21.55
Lima Metropolitana,-12.05,-77.04,2023,316,24.16,16.37,64.88,3.66,21.8
Lima Metropolitana,-12.05,-77.04,2023,317,24.55,15.77,66.39,3.73,19.85
Lima Metropolitana,-12.05,-77.04,2023,318,23.62,16.62,65.9,2.99,25.97
Lima Metropolitana,-12.05,-77.04,2023,319,22.79,15.87,66.44,3.59,23.65
Lima Metropolitana,-12.05,-77.04,2023,320,23.49,15.96,68.32,3.85,22.92
Lima Metropolitana,-12.05,-77.04,2023,321,23.38,16.26,67.88,3.95,23.5
Lima Metropolitana,-12.05,-77.04,2023,322,21.76,15.75,69.9,2.96,18.72
Lima Metropolitana,-12.05,-77.04,2023,323,23.3,15.13,69.72,3.26,19.28
Lima Metropolitana,-12.05,-77.04,2023,324,22.88,14.52,68.15,3.07,14.73
Lima Metropolitana,-12.05,-77.04,2023,325,22.31,14.93,69.08,3.04,22.98
