Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Lima Provincias Huacho,-11.1,-77.6,2023,274,24.58,16.43,71.69,4.84,21.86
Lima Provincias Huacho,-11.1,-77.6,2023,275,24.77,16.49,74.94,3.85,22.08
Lima Provincias Huacho,-11.1,-77.6,2023,276,23.01,16.64,75.53,4.69,17.69
Lima Provincias Huacho,-11.1,-77.6,2023,277,22.39,16.19,77.76,3.67,16.07
Lima Provincias Huacho,-11.1,-77.6,2023,278,22.51,15.86,74.97,4.01,21.92
Lima Provincias Huacho,-11.1,-77.6,2023,279,25.0,16.44,72.87,4.27,18.87
Lima Provincias Huacho,-11.1,-77.6,2023,280,24.51,16.64,72.03,4.67,14.49
Lima Provincias Huacho,-11.1,-77.6,2023,281,23.13,16.48,73.9,4.39,16.33
Lima Provincias Huacho,-11.1,-77.6,2023,282,23.95,17.4,72.65,3.82,12.75
Lima Provincias Huacho,-11.1,-77.6,2023,283,22.91,16.88,74.59,4.52,21.45
Lima Provincias Huacho,-11.1,-77.6,2023,284,22.93,15.88,72.07,5.02,16.11
Lima Provincias Huacho,-11.1,-77.6,2023,285,23.08,16.36,69.83,4.25,17.06
Lima Provincias Huacho,-11.1,-77.6,2023,286,24.63,17.18,66.32,3.29,16.35
Lima Provincias Huacho,-11.1,-77.6,2023,287,22.88,16.68,71.28,3.62,21.6
Lima Provincias Huacho,-11.1,-77.6,2023,288,23.68,17.21,72.66,4.25,17.11
Lima Provincias Huacho,-11.1,-77.6,2023,289,24.88,16.81,73.31,4.33,17.8
Lima Provincias Huacho,-11.1,-77.6,2023,290,23.76,16.85,75.03,4.67,17.35
Lima Provincias Huacho,-11.1,-77.6,2023,291,23.42,17.14,74.21,4.56,18.1
Lima Provincias Huacho,-11.1,-77.6,2023,292,24.16,17.28,72.27,4.11,16.96
Lima Provincias Huacho,-11.1,-77.6,2023,293,23.03,16.89,76.63,4.14,16.45
