Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Loreto Iquitos,-3.75,-73.25,2023,274,30.04,24.86,87.9,0.66,16.23
Loreto Iquitos,-3.75,-73.25,2023,275,30.19,24.44,89.53,0.62,19.51
Loreto Iquitos,-3.75,-73.25,2023,276,31.32,24.09,88.27,0.89,25.08
Loreto Iquitos,-3.75,-73.25,2023,277,31.89,24.48,87.3,0.88,22.93
Loreto Iquitos,-3.75,-73.25,2023,278,29.86,24.54,91.87,0.79,19.09
Loreto Iquitos,-3.75,-73.25,2023,279,29.77,24.71,91.28,0.73,21.73
Loreto Iquitos,-3.75,-73.25,2023,280,29.49,24.88,91.99,0.8,22.79
Loreto Iquitos,-3.75,-73.25,2023,281,30.48,24.6,89.04,0.79,20.46
Loreto Iquitos,-3.75,-73.25,2023,282,30.17,24.77,88.46,0.63,16.44
Loreto Iquitos,-3.75,-73.25,2023,283,31.16,23.62,85.14,0.69,18.92
Loreto Iquitos,-3.75,-73.25,2023,284,29.38,24.83,88.62,0.73,22.4
Loreto Iquitos,-3.75,-73.25,2023,285,28.86,23.99,93.21,0.83,18.24
Loreto Iquitos,-3.75,-73.25,2023,286,27.65,24.52,97.14,0.74,12.42
Loreto Iquitos,-3.75,-73.25,2023,287,29.42,23.89,87.76,0.63,16.68
Loreto Iquitos,-3.75,-73.25,2023,288,29.45,22.89,89.18,0.77,16.29
Loreto Iquitos,-3.75,-73.25,2023,289,29.73,23.16,89.6,0.8,20.3
Loreto Iquitos,-3.75,-73.25,2023,290,29.5,24.06,90.58,0.82,21.05
Loreto Iquitos,-3.75,-73.25,2023,291,30.04,23.84,89.2,0.7,19.99
Loreto Iquitos,-3.75,-73.25,2023,292,30.03,24.26,87.61,0.81,18.43
Loreto Iquitos,-3.75,-73.25,2023,293,29.79,23.36,88.93,0.74,12.01
Loreto Iquitos,-3.75,-73.25,2023,294,29.64,24.49,89.23,0.74,21.28
Loreto Iquitos,-3.75,-73.25,2023,295,28.85,23.72,90.32,0.69,15.42
Loreto Iquitos,-3.75,-73.25,2023,296,29.99,23.27,89.71,0.79,19.44
Loreto Iquitos,-3.75,-73.25,2023,297,29.79,23.65,91.97,0.9,18.03
Loreto Iquitos,-3.75,-73.25,2023,298,30.38,23.17,89.35,0.98,22.33
Loreto Iquitos,-3.75,-73.25,2023,299,29.29,24.52,92.4,0.75,19.42
Loreto Iquitos,-3.75,-73.25,2023,300,29.26,24.51,93.5,0.81,20.7
Loreto Iquitos,-3.75,-73.25,2023,301,28.21,24.7,96.61,0.73,17.29
Loreto Iquitos,-3.75,-73.25,2023,302,25.27,22.83,96.49,0.85,9.68
Loreto Iquitos,-3.75,-73.25,2023,303,28.89,22.28,90.7,0.78,17.57
Loreto Iquitos,-3.75,-73.25,2023,304,29.66,23.3,88.34,0.69,18.41
Loreto Iquitos,-3.75,-73.25,2023,305,29.61,24.29,90.47,0.6,12.82
Loreto Iquitos,-3.75,-73.25,2023,306,29.87,23.99,88.8,0.76,17.43
Loreto Iquitos,-3.75,-73.25,2023,307,29.04,23.38,86.32,0.85,22.26
Loreto Iquitos,-3.75,-73.25,2023,308,29.39,23.57,89.94,0.84,13.5
Loreto Iquitos,-3.75,-73.25,2023,309,27.77,24.58,93.75,0.67,11.39
Loreto Iquitos,-3.75,-73.25,2023,310,28.43,24.11,86.44,0.73,14.75
Loreto Iquitos,-3.75,-73.25,2023,311,30.14,23.59,86.16,0.77,17.81
Loreto Iquitos,-3.75,-73.25,2023,312,29.87,24.03,90.2,0.7,17.3
Loreto Iquitos,-3.75,-73.25,2023,313,28.8,24.93,89.86,0.73,18.29
Loreto Iquitos,-3.75,-73.25,2023,314,28.95,24.04,89.53,0.8,19.85
