Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,274,32.26,25.72,76.2,0.57,18.38
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,275,32.36,24.92,75.84,0.54,21.45
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,276,33.29,24.86,78.25,0.84,18.09
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,277,33.32,24.05,80.51,0.68,20.96
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,278,35.15,24.56,70.67,0.89,23.18
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,279,36.86,24.51,64.98,1.11,21.28
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,280,37.68,25.35,60.79,1.05,20.01
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,281,35.05,25.89,70.6,0.63,13.04
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,282,28.36,23.51,92.96,0.94,4.85
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,283,31.32,23.06,84.35,0.59,21.4
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,284,32.18,23.08,81.04,0.68,24.85
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,285,32.34,24.51,80.12,0.72,22.08
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,286,29.05,24.24,92.65,0.62,8.88
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,287,29.6,24.29,92.84,0.56,22.49
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,288,30.71,23.03,85.95,0.53,23.51
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,289,31.37,23.79,83.17,0.64,16.89
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,290,30.28,23.83,82.91,0.59,25.85
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,291,30.72,24.04,83.31,0.57,25.8
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,292,31.51,23.64,82.85,0.57,21.67
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,293,32.21,22.44,84.28,0.71,22.33
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,294,32.94,22.53,77.43,0.72,23.6
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,295,32.79,22.51,77.94,0.85,22.54
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,296,33.87,22.61,75.72,0.91,23.01
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,297,34.27,23.42,74.86,0.81,22.64
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,298,34.46,24.46,72.94,0.78,21.56
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,299,34.22,25.27,75.01,0.73,17.06
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,300,32.0,24.65,84.57,0.67,11.37
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,301,32.35,23.56,80.41,0.92,13.1
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,302,28.88,22.88,91.34,0.77,14.6
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,303,31.41,23.08,85.35,0.81,21.19
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,304,31.37,23.69,78.67,0.83,11.1
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,305,29.03,23.3,91.48,0.72,11.44
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,306,29.16,23.59,90.64,0.65,23.51
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,307,30.9,23.62,85.23,0.61,20.65
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,308,30.63,23.8,82.49,0.88,10.8
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,309,31.56,22.36,77.11,0.38,23.42
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,310,33.35,23.08,76.12,0.63,25.05
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,311,34.99,24.17,74.0,0.62,23.52
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,312,33.37,25.14,80.8,0.7,17.68
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,313,31.65,24.45,79.58,0.42,15.61
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,314,34.62,23.4,71.86,0.73,22.96
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,315,35.91,24.15,68.72,0.8,25.15
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,316,37.03,24.76,61.37,0.82,25.82
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,317,37.35,25.65,62.92,0.8,24.41
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,318,34.43,25.05,75.24,0.69,18.41
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,319,35.36,24.74,68.23,0.78,24.86
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,320,37.11,24.76,62.47,1.01,21.88
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,321,38.79,25.76,53.55,1.24,22.47
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,322,38.69,26.02,56.56,1.22,22.62
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,323,35.17,26.72,69.06,1.12,14.71
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,324,29.27,24.59,90.68,0.73,5.37
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,325,30.49,23.78,86.96,0.95,11.38
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,326,32.15,23.77,77.97,1.16,18.77
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,327,33.43,24.27,73.28,1.01,18.03
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,328,31.96,24.14,81.75,0.58,18.16
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,329,26.47,23.52,97.22,0.58,15.93
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,330,28.44,22.36,91.35,0.65,14.46
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,331,29.53,22.64,89.86,0.78,17.21
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,332,26.42,23.38,92.36,0.53,15.85
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,333,28.47,22.78,91.11,0.79,8.44
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,334,29.74,22.62,89.77,0.8,19.1
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,335,28.31,23.5,93.32,0.7,14.49
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,336,29.53,23.51,88.06,0.72,19.49
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,337,27.42,24.0,94.2,0.72,13.07
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,338,28.07,23.61,95.45,0.86,15.8
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,339,26.87,23.28,95.7,0.66,7.7
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,340,29.21,23.32,91.34,0.68,20.02
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,341,29.85,23.56,90.38,0.69,20.54
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,342,27.93,24.16,93.36,0.46,17.39
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,343,29.12,23.84,90.07,0.48,27.3
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,344,29.79,24.03,88.19,0.64,24.66
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,345,28.45,24.01,94.15,0.69,21.72
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,346,28.48,24.08,94.16,0.57,9.78
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,347,26.23,23.27,94.76,0.61,24.26
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,348,30.43,22.81,87.78,0.58,21.58
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,349,28.27,25.16,95.74,0.49,9.75
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,350,27.89,24.32,97.06,0.61,21.84
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,351,27.46,24.09,96.49,0.7,19.93
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,352,30.28,22.98,90.11,0.81,22.28
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,353,29.25,24.61,89.36,0.71,23.81
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,354,29.41,24.73,92.65,0.56,12.73
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,355,29.62,24.72,92.53,0.6,20.74
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,356,28.79,24.85,91.91,0.72,18.81
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,357,29.7,24.32,91.82,0.71,14.71
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,358,29.7,24.14,92.71,0.68,16.09
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,359,28.61,24.75,94.8,0.73,17.75
Madre de Dios Pto Maldonado,-12.59,-69.2,2023,360,27.53,24.54,96.85,0.56,11.25
