Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Moquegua,-17.2,-70.94,2023,274,23.87,14.43,60.44,1.79,25.92
Moquegua,-17.2,-70.94,2023,275,22.95,13.7,60.83,2.8,26.93
Moquegua,-17.2,-70.94,2023,276,23.73,13.4,53.61,3.0,27.42
Moquegua,-17.2,-70.94,2023,277,22.72,13.89,52.87,2.97,26.85
Moquegua,-17.2,-70.94,2023,278,23.11,13.34,59.36,2.64,26.44
Moquegua,-17.2,-70.94,2023,279,24.91,13.09,58.94,3.15,27.73
Moquegua,-17.2,-70.94,2023,280,23.3,13.24,57.12,3.04,27.75
Moquegua,-17.2,-70.94,2023,281,24.77,14.28,50.89,2.92,29.6
Moquegua,-17.2,-70.94,2023,282,24.96,14.46,44.68,2.47,29.02
Moquegua,-17.2,-70.94,2023,283,23.79,14.63,50.99,2.64,27.41
Moquegua,-17.2,-70.94,2023,284,24.97,15.09,51.11,2.64,28.79
Moquegua,-17.2,-70.94,2023,285,25.38,15.64,51.74,2.72,28.05
Moquegua,-17.2,-70.94,2023,286,25.68,15.41,54.04,2.47,27.46
Moquegua,-17.2,-70.94,2023,287,24.86,14.91,59.66,2.74,27.11
Moquegua,-17.2,-70.94,2023,288,25.12,15.25,55.95,2.58,27.62
Moquegua,-17.2,-70.94,2023,289,24.79,15.09,53.82,2.64,28.0
Moquegua,-17.2,-70.94,2023,290,22.98,14.34,69.47,2.92,26.33
Moquegua,-17.2,-70.94,2023,291,22.05,14.13,69.89,2.38,23.17
Moquegua,-17.2,-70.94,2023,292,26.32,15.77,56.1,2.61,23.72
Moquegua,-17.2,-70.94,2023,293,24.93,15.99,60.66,2.51,23.54
Moquegua,-17.2,-70.94,2023,294,23.72,14.95,62.05,2.77,18.22
Moquegua,-17.2,-70.94,2023,295,24.35,14.66,68.67,2.77,19.31
Moquegua,-17.2,-70.94,2023,296,24.09,15.72,60.91,2.99,23.54
Moquegua,-17.2,-70.94,2023,297,24.9,14.92,56.4,2.75,25.38
Moquegua,-17.2,-70.94,2023,298,24.8,14.57,54.87,2.86,29.3
Moquegua,-17.2,-70.94,2023,299,23.59,12.7,53.75,3.06,29.31
Moquegua,-17.2,-70.94,2023,300,22.06,11.8,67.0,3.3,27.26
Moquegua,-17.2,-70.94,2023,301,20.91,12.2,62.95,2.99,30.77
Moquegua,-17.2,-70.94,2023,302,22.94,11.56,53.93,2.97,31.08
Moquegua,-17.2,-70.94,2023,303,23.86,12.64,43.3,2.9,32.18
Moquegua,-17.2,-70.94,2023,304,23.09,12.25,44.88,2.96,31.03
Moquegua,-17.2,-70.94,2023,305,24.06,13.36,53.45,2.99,30.85
Moquegua,-17.2,-70.94,2023,306,23.26,11.72,53.37,3.26,31.68
Moquegua,-17.2,-70.94,2023,307,22.55,13.65,56.43,3.09,30.71
Moquegua,-17.2,-70.94,2023,308,22.69,13.16,66.31,2.87,27.69
Moquegua,-17.2,-70.94,2023,309,23.74,13.86,63.18,2.45,27.63
Moquegua,-17.2,-70.94,2023,310,23.07,14.27,63.11,2.46,27.5
Moquegua,-17.2,-70.94,2023,311,25.18,15.11,57.77,2.74,24.27
Moquegua,-17.2,-70.94,2023,312,24.68,15.26,58.91,2.56,27.67
Moquegua,-17.2,-70.94,2023,313,25.4,15.0,62.79,2.98,20.8
Moquegua,-17.2,-70.94,2023,314,23.38,14.9,66.37,2.6,21.72
Moquegua,-17.2,-70.94,2023,315,25.01,16.27,57.81,3.02,26.65
Moquegua,-17.2,-70.94,2023,316,24.68,15.17,56.21,3.29,25.3
Moquegua,-17.2,-70.94,2023,317,26.2,14.81,52.45,3.32,29.73
Moquegua,-17.2,-70.94,2023,318,25.55,14.54,51.28,2.99,28.12
Moquegua,-17.2,-70.94,2023,319,25.2,14.39,48.49,2.85,28.43
Moquegua,-17.2,-70.94,2023,320,24.08,14.0,50.32,3.04,28.43
Moquegua,-17.2,-70.94,2023,321,25.03,14.04,51.24,2.85,27.11
Moquegua,-17.2,-70.94,2023,322,24.97,15.41,48.65,3.13,28.86
Moquegua,-17.2,-70.94,2023,323,24.73,14.77,47.86,2.95,29.73
Moquegua,-17.2,-70.94,2023,324,23.19,13.68,55.07,3.17,31.17
Moquegua,-17.2,-70.94,2023,325,23.77,13.46,60.56,3.17,30.62
Moquegua,-17.2,-70.94,2023,326,21.83,13.16,60.36,3.0,31.72
Moquegua,-17.2,-70.94,2023,327,22.25,13.02,61.03,2.92,30.44
Moquegua,-17.2,-70.94,2023,328,22.97,13.57,63.38,2.7,23.82
Moquegua,-17.2,-70.94,2023,329,22.92,13.47,68.94,2.74,24.44
Moquegua,-17.2,-70.94,2023,330,23.11,14.0,63.96,2.9,23.66
Moquegua,-17.2,-70.94,2023,331,24.67,14.9,54.66,2.83,30.41
Moquegua,-17.2,-70.94,2023,332,24.68,15.2,52.52,3.11,31.61
Moquegua,-17.2,-70.94,2023,333,24.75,14.24,63.74,3.44,28.36
Moquegua,-17.2,-70.94,2023,334,21.51,14.02,73.18,3.24,20.64
Moquegua,-17.2,-70.94,2023,335,24.33,14.21,62.36,3.19,28.18
Moquegua,-17.2,-70.94,2023,336,23.67,14.95,58.67,3.08,31.02
Moquegua,-17.2,-70.94,2023,337,24.97,14.73,53.37,2.89,31.17
Moquegua,-17.2,-70.94,2023,338,24.93,14.74,53.9,3.25,30.07
Moquegua,-17.2,-70.94,2023,339,24.56,14.14,55.3,3.25,25.93
Moquegua,-17.2,-70.94,2023,340,24.26,13.87,53.51,3.06,31.26
Moquegua,-17.2,-70.94,2023,341,23.26,14.42,63.57,3.43,29.22
Moquegua,-17.2,-70.94,2023,342,24.16,14.62,64.67,3.3,25.62
Moquegua,-17.2,-70.94,2023,343,26.39,15.33,58.02,3.13,25.61
Moquegua,-17.2,-70.94,2023,344,23.26,15.81,73.92,2.53,23.24
Moquegua,-17.2,-70.94,2023,345,23.74,15.97,72.65,2.48,23.8
Moquegua,-17.2,-70.94,2023,346,24.05,15.86,66.5,2.6,26.05
Moquegua,-17.2,-70.94,2023,347,24.54,15.5,64.2,2.99,23.29
Moquegua,-17.2,-70.94,2023,348,24.64,15.84,64.59,2.74,19.73
Moquegua,-17.2,-70.94,2023,349,24.49,15.59,65.38,3.06,26.09
Moquegua,-17.2,-70.94,2023,350,23.4,15.41,73.32,3.0,28.62
Moquegua,-17.2,-70.94,2023,351,22.88,15.11,69.14,2.61,25.57
Moquegua,-17.2,-70.94,2023,352,23.63,14.58,70.61,3.29,25.08
Moquegua,-17.2,-70.94,2023,353,23.59,14.94,64.49,3.03,30.77
Moquegua,-17.2,-70.94,2023,354,24.23,14.5,61.17,3.2,30.03
Moquegua,-17.2,-70.94,2023,355,24.37,13.72,66.57,3.41,27.09
Moquegua,-17.2,-70.94,2023,356,24.54,15.47,68.76,3.35,28.56
Moquegua,-17.2,-70.94,2023,357,23.72,15.48,69.36,3.2,28.39
Moquegua,-17.2,-70.94,2023,358,24.34,14.79,67.71,3.1,28.17
Moquegua,-17.2,-70.94,2023,359,24.94,15.03,68.68,2.91,29.17
Moquegua,-17.2,-70.94,2023,360,24.79,15.1,68.66,3.22,20.51
Moquegua,-17.2,-70.94,2023,361,24.1,15.19,67.73,3.25,22.33
Moquegua,-17.2,-70.94,2023,362,24.62,14.89,70.78,3.39,21.89
Moquegua,-17.2,-70.94,2023,363,22.6,15.23,72.3,3.11,19.37
Moquegua,-17.2,-70.94,2023,364,23.53,16.18,68.4,3.37,22.2
Moquegua,-17.2,-70.94,2023,365,25.1,14.69,66.99,3.08,28.08
Moquegua,-17.2,-70.94,2024,1,23.89,14.57,63.79,3.35,29.14
Moquegua,-17.2,-70.94,2024,2,23.43,13.87,74.15,3.39,24.68
Moquegua,-17.2,-70.94,2024,3,21.81,13.94,75.04,3.24,28.88
Moquegua,-17.2,-70.94,2024,4,21.89,14.23,74.28,3.35,25.5
Moquegua,-17.2,-70.94,2024,5,21.91,14.46,74.09,3.1,25.27
Moquegua,-17.2,-70.94,2024,6,24.15,14.85,70.32,3.85,27.4
Moquegua,-17.2,-70.94,2024,7,23.94,14.88,68.75,3.62,28.05
Moquegua,-17.2,-70.94,2024,8,22.85,14.65,75.43,3.65,26.84
Moquegua,-17.2,-70.94,2024,9,23.99,14.97,71.5,3.47,29.74
Moquegua,-17.2,-70.94,2024,10,23.69,14.78,73.65,3.43,28.92
Moquegua,-17.2,-70.94,2024,11,23.09,14.86,75.77,3.44,25.68
Moquegua,-17.2,-70.94,2024,12,23.62,15.51,75.65,3.52,26.98
Moquegua,-17.2,-70.94,2024,13,23.31,14.72,74.11,3.53,28.17
Moquegua,-17.2,-70.94,2024,14,24.35,14.91,72.85,3.38,27.58
Moquegua,-17.2,-70.94,2024,15,24.62,15.01,74.03,3.55,21.19
Moquegua,-17.2,-70.94,2024,16,25.62,15.17,71.92,3.31,23.66
Moquegua,-17.2,-70.94,2024,17,25.71,16.15,74.68,3.26,24.98
Moquegua,-17.2,-70.94,2024,18,25.01,15.56,75.26,3.56,21.45
Moquegua,-17.2,-70.94,2024,19,24.75,16.07,77.01,3.26,20.77
Moquegua,-17.2,-70.94,2024,20,25.16,15.85,76.58,3.38,25.46
Moquegua,-17.2,-70.94,2024,21,25.69,16.49,73.48,3.15,25.13
Moquegua,-17.2,-70.94,2024,22,26.03,16.71,74.69,3.48,21.54
Moquegua,-17.2,-70.94,2024,23,25.59,16.85,68.1,3.11,22.64
Moquegua,-17.2,-70.94,2024,24,26.87,17.03,56.12,3.23,27.09
Moquegua,-17.2,-70.94,2024,25,24.5,16.46,71.62,3.16,24.82
Moquegua,-17.2,-70.94,2024,26,26.41,15.93,69.18,3.47,26.61
Moquegua,-17.2,-70.94,2024,27,24.07,16.02,70.94,3.08,26.17
Moquegua,-17.2,-70.94,2024,28,24.88,15.84,71.75,3.38,26.48
Moquegua,-17.2,-70.94,2024,29,24.77,15.71,70.12,3.37,29.56
Moquegua,-17.2,-70.94,2024,30,26.56,16.03,61.94,3.33,29.65
Moquegua,-17.2,-70.94,2024,31,23.83,15.84,68.66,3.2,23.82
Moquegua,-17.2,-70.94,2024,32,25.43,16.13,71.81,3.29,25.33
Moquegua,-17.2,-70.94,2024,33,24.91,15.73,74.65,3.5,23.49
Moquegua,-17.2,-70.94,2024,34,25.44,15.71,74.38,3.51,28.4
Moquegua,-17.2,-70.94,2024,35,25.19,15.88,70.66,3.37,29.6
Moquegua,-17.2,-70.94,2024,36,24.51,16.43,74.79,3.43,22.98
Moquegua,-17.2,-70.94,2024,37,25.1,15.91,72.27,3.83,19.96
Moquegua,-17.2,-70.94,2024,38,24.64,16.61,76.55,3.78,25.12
Moquegua,-17.2,-70.94,2024,39,26.49,16.56,69.75,3.35,27.74
Moquegua,-17.2,-70.94,2024,40,27.11,16.2,63.29,3.28,26.79
Moquegua,-17.2,-70.94,2024,41,25.89,16.13,68.16,3.33,24.01
Moquegua,-17.2,-70.94,2024,42,24.26,16.82,72.5,3.19,20.09
Moquegua,-17.2,-70.94,2024,43,21.44,15.97,82.06,3.05,15.54
Moquegua,-17.2,-70.94,2024,44,23.72,15.55,77.36,3.23,20.52
Moquegua,-17.2,-70.94,2024,45,26.36,16.97,62.48,3.17,22.28
Moquegua,-17.2,-70.94,2024,46,26.18,17.35,69.28,3.3,19.28
Moquegua,-17.2,-70.94,2024,47,24.37,16.78,80.47,3.5,19.49
Moquegua,-17.2,-70.94,2024,48,25.18,16.9,76.46,3.19,17.42
Moquegua,-17.2,-70.94,2024,49,25.92,16.61,74.61,3.1,16.55
Moquegua,-17.2,-70.94,2024,50,20.92,16.36,78.04,3.15,13.98
Moquegua,-17.2,-70.94,2024,51,22.9,15.35,78.25,3.46,14.88
Moquegua,-17.2,-70.94,2024,52,23.02,14.64,78.68,3.76,17.48
Moquegua,-17.2,-70.94,2024,53,23.91,14.41,78.49,4.04,23.75
Moquegua,-17.2,-70.94,2024,54,23.66,14.67,77.04,4.14,22.55
Moquegua,-17.2,-70.94,2024,55,21.15,14.83,81.02,3.61,15.61
Moquegua,-17.2,-70.94,2024,56,21.93,14.67,82.38,3.47,15.39
Moquegua,-17.2,-70.94,2024,57,22.65,14.54,80.75,3.23,12.06
Moquegua,-17.2,-70.94,2024,58,22.95,15.36,80.4,3.54,18.0
Moquegua,-17.2,-70.94,2024,59,23.84,15.35,77.47,3.02,17.91
Moquegua,-17.2,-70.94,2024,60,24.7,15.51,77.66,2.91,18.78
Moquegua,-17.2,-70.94,2024,61,23.37,14.79,79.37,3.42,16.93
Moquegua,-17.2,-70.94,2024,62,23.43,14.75,76.98,3.3,20.17
Moquegua,-17.2,-70.94,2024,63,22.54,15.83,74.81,3.32,18.05
Moquegua,-17.2,-70.94,2024,64,22.13,15.74,79.25,3.0,20.96
Moquegua,-17.2,-70.94,2024,65,22.28,15.54,76.63,3.11,19.5
Moquegua,-17.2,-70.94,2024,66,22.45,15.59,74.31,3.02,19.92
Moquegua,-17.2,-70.94,2024,67,22.68,15.5,78.93,2.4,20.25
Moquegua,-17.2,-70.94,2024,68,23.11,15.59,76.01,2.64,21.03
Moquegua,-17.2,-70.94,2024,69,23.0,15.35,75.38,2.44,20.19
Moquegua,-17.2,-70.94,2024,70,24.64,16.14,69.4,2.85,19.9
Moquegua,-17.2,-70.94,2024,71,24.94,16.49,68.54,3.13,22.41
Moquegua,-17.2,-70.94,2024,72,25.56,16.4,73.19,2.91,21.66
Moquegua,-17.2,-70.94,2024,73,24.71,17.09,76.35,2.58,22.0
Moquegua,-17.2,-70.94,2024,74,24.91,16.98,76.31,2.79,21.93
Moquegua,-17.2,-70.94,2024,75,24.78,17.55,71.61,2.86,23.78
Moquegua,-17.2,-70.94,2024,76,25.23,17.53,68.94,2.66,22.98
Moquegua,-17.2,-70.94,2024,77,23.61,16.76,72.61,2.57,21.66
Moquegua,-17.2,-70.94,2024,78,24.24,16.16,69.98,2.36,17.68
Moquegua,-17.2,-70.94,2024,79,24.51,16.69,70.38,2.9,17.66
Moquegua,-17.2,-70.94,2024,80,25.8,15.64,71.64,3.31,25.65
Moquegua,-17.2,-70.94,2024,81,24.44,15.39,69.68,3.16,26.97
Moquegua,-17.2,-70.94,2024,82,24.22,14.97,76.79,3.09,22.16
Moquegua,-17.2,-70.94,2024,83,23.62,14.93,74.78,3.15,25.31
Moquegua,-17.2,-70.94,2024,84,23.55,14.92,75.25,3.01,25.55
Moquegua,-17.2,-70.94,2024,85,23.56,14.73,76.48,2.69,23.35
Moquegua,-17.2,-70.94,2024,86,22.57,14.71,75.52,2.74,19.18
Moquegua,-17.2,-70.94,2024,87,22.73,14.16,76.47,2.79,19.9
Moquegua,-17.2,-70.94,2024,88,23.7,14.56,68.83,2.65,18.27
