Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Pasco Cerro de Pasco,-10.69,-76.26,2023,274,16.97,3.43,76.35,4.02,13.35
Pasco Cerro de Pasco,-10.69,-76.26,2023,275,17.2,5.23,74.82,3.36,16.4
Pasco Cerro de Pasco,-10.69,-76.26,2023,276,17.74,5.43,74.91,3.37,13.63
Pasco Cerro de Pasco,-10.69,-76.26,2023,277,16.97,6.9,78.34,4.96,16.45
Pasco Cerro de Pasco,-10.69,-76.26,2023,278,16.81,6.32,74.95,4.49,18.91
Pasco Cerro de Pasco,-10.69,-76.26,2023,279,19.0,6.09,71.66,3.89,20.42
Pasco Cerro de Pasco,-10.69,-76.26,2023,280,18.49,5.65,71.99,3.94,16.04
Pasco Cerro de Pasco,-10.69,-76.26,2023,281,18.66,6.14,72.64,4.21,15.82
Pasco Cerro de Pasco,-10.69,-76.26,2023,282,17.19,6.82,74.46,5.3,11.54
Pasco Cerro de Pasco,-10.69,-76.26,2023,283,15.38,5.71,75.33,4.94,15.04
Pasco Cerro de Pasco,-10.69,-76.26,2023,284,16.09,4.07,72.07,4.58,20.44
Pasco Cerro de Pasco,-10.69,-76.26,2023,285,16.42,4.87,74.39,4.62,17.34
Pasco Cerro de Pasco,-10.69,-76.26,2023,286,13.98,5.36,81.14,5.62,15.12
Pasco Cerro de Pasco,-10.69,-76.26,2023,287,14.78,2.05,77.09,4.71,14.62
Pasco Cerro de Pasco,-10.69,-76.26,2023,288,14.97,4.16,76.96,5.63,16.47
Pasco Cerro de Pasco,-10.69,-76.26,2023,289,16.38,2.7,73.45,4.69,17.18
Pasco Cerro de Pasco,-10.69,-76.26,2023,290,15.95,5.5,75.94,5.17,12.74
Pasco Cerro de Pasco,-10.69,-76.26,2023,291,14.4,4.9,77.63,5.3,15.16
Pasco Cerro de Pasco,-10.69,-76.26,2023,292,15.06,4.39,76.09,4.71,16.42
Pasco Cerro de Pasco,-10.69,-76.26,2023,293,14.49,5.73,78.65,6.02,15.73
Pasco Cerro de Pasco,-10.69,-76.26,2023,294,15.34,5.51,76.37,5.54,13.94
Pasco Cerro de Pasco,-10.69,-76.26,2023,295,12.75,5.42,81.11,5.53,18.1
Pasco Cerro de Pasco,-10.69,-76.26,2023,296,16.86,3.16,69.95,3.77,17.18
Pasco Cerro de Pasco,-10.69,-76.26,2023,297,15.95,5.22,75.97,4.16,19.42
Pasco Cerro de Pasco,-10.69,-76.26,2023,298,17.28,5.22,73.65,3.98,12.63
Pasco Cerro de Pasco,-10.69,-76.26,2023,299,16.25,6.19,77.92,3.83,12.84
Pasco Cerro de Pasco,-10.69,-76.26,2023,300,14.93,5.67,78.43,3.99,13.28
Pasco Cerro de Pasco,-10.69,-76.26,2023,301,15.95,4.62,76.77,3.14,13.98
Pasco Cerro de Pasco,-10.69,-76.26,2023,302,17.27,3.06,73.03,2.73,19.51
Pasco Cerro de Pasco,-10.69,-76.26,2023,303,18.66,2.61,68.02,2.8,21.84
Pasco Cerro de Pasco,-10.69,-76.26,2023,304,17.77,2.7,66.43,2.99,18.79
Pasco Cerro de Pasco,-10.69,-76.26,2023,305,18.51,0.53,67.61,3.45,12.42
Pasco Cerro de Pasco,-10.69,-76.26,2023,306,14.43,4.17,78.59,2.76,18.24
Pasco Cerro de Pasco,-10.69,-76.26,2023,307,16.73,4.41,75.17,4.21,18.82
Pasco Cerro de Pasco,-10.69,-76.26,2023,308,14.8,6.15,79.04,6.35,14.54
Pasco Cerro de Pasco,-10.69,-76.26,2023,309,14.87,4.61,74.99,4.47,13.87
Pasco Cerro de Pasco,-10.69,-76.26,2023,310,14.83,3.27,76.37,3.94,15.58
Pasco Cerro de Pasco,-10.69,-76.26,2023,311,16.36,4.43,76.69,4.6,18.08
Pasco Cerro de Pasco,-10.69,-76.26,2023,312,17.15,4.83,73.26,4.9,19.05
Pasco Cerro de Pasco,-10.69,-76.26,2023,313,15.91,4.91,79.49,5.01,12.78
Pasco Cerro de Pasco,-10.69,-76.26,2023,314,14.6,2.88,79.03,3.1,18.29
Pasco Cerro de Pasco,-10.69,-76.26,2023,315,16.79,4.02,72.43,2.74,17.85
Pasco Cerro de Pasco,-10.69,-76.26,2023,316,16.78,5.45,74.12,3.82,17.85
Pasco Cerro de Pasco,-10.69,-76.26,2023,317,15.29,5.77,76.66,4.04,16.57
Pasco Cerro de Pasco,-10.69,-76.26,2023,318,15.93,6.48,76.85,3.84,16.8
Pasco Cerro de Pasco,-10.69,-76.26,2023,319,14.25,5.63,81.0,3.93,15.23
Pasco Cerro de Pasco,-10.69,-76.26,2023,320,16.06,5.89,78.72,3.75,16.71
Pasco Cerro de Pasco,-10.69,-76.26,2023,321,17.52,5.12,74.7,2.92,16.95
Pasco Cerro de Pasco,-10.69,-76.26,2023,322,17.74,6.34,71.35,3.14,15.71
Pasco Cerro de Pasco,-10.69,-76.26,2023,323,18.27,5.55,68.88,3.29,18.49
Pasco Cerro de Pasco,-10.69,-76.26,2023,324,13.26,2.4,78.66,2.34,13.3
Pasco Cerro de Pasco,-10.69,-76.26,2023,325,15.67,2.31,72.5,2.54,16.16
Pasco Cerro de Pasco,-10.69,-76.26,2023,326,18.42,1.77,66.05,2.81,21.62
Pasco Cerro de Pasco,-10.69,-76.26,2023,327,17.11,1.87,69.12,2.93,13.01
Pasco Cerro de Pasco,-10.69,-76.26,2023,328,13.74,3.57,79.03,2.05,15.68
Pasco Cerro de Pasco,-10.69,-76.26,2023,329,16.04,3.46,77.85,3.24,10.88
Pasco Cerro de Pasco,-10.69,-76.26,2023,330,14.95,4.31,80.04,3.93,10.85
Pasco Cerro de Pasco,-10.69,-76.26,2023,331,14.91,5.56,77.58,4.24,17.84
Pasco Cerro de Pasco,-10.69,-76.26,2023,332,16.88,5.32,75.65,3.0,16.69
Pasco Cerro de Pasco,-10.69,-76.26,2023,333,16.24,4.43,75.55,3.55,17.13
Pasco Cerro de Pasco,-10.69,-76.26,2023,334,16.05,5.35,76.16,4.48,13.96
Pasco Cerro de Pasco,-10.69,-76.26,2023,335,12.86,5.15,81.91,4.09,11.56
Pasco Cerro de Pasco,-10.69,-76.26,2023,336,15.85,4.67,77.66,2.94,14.99
Pasco Cerro de Pasco,-10.69,-76.26,2023,337,14.43,4.21,77.08,2.63,14.96
Pasco Cerro de Pasco,-10.69,-76.26,2023,338,18.34,3.9,67.02,2.42,20.9
Pasco Cerro de Pasco,-10.69,-76.26,2023,339,12.37,2.45,81.2,2.79,14.52
Pasco Cerro de Pasco,-10.69,-76.26,2023,340,15.06,3.69,81.16,2.96,14.16
Pasco Cerro de Pasco,-10.69,-76.26,2023,341,15.26,5.09,80.54,4.51,15.54
Pasco Cerro de Pasco,-10.69,-76.26,2023,342,14.19,5.4,81.62,5.63,15.92
Pasco Cerro de Pasco,-10.69,-76.26,2023,343,15.13,5.69,83.86,4.67,14.77
Pasco Cerro de Pasco,-10.69,-76.26,2023,344,13.46,4.99,82.94,3.51,15.99
Pasco Cerro de Pasco,-10.69,-76.26,2023,345,16.43,3.28,77.73,3.24,18.85
Pasco Cerro de Pasco,-10.69,-76.26,2023,346,16.91,4.23,80.67,3.58,17.29
Pasco Cerro de Pasco,-10.69,-76.26,2023,347,17.36,5.29,80.5,3.51,18.54
Pasco Cerro de Pasco,-10.69,-76.26,2023,348,10.93,4.75,84.09,1.6,12.81
Pasco Cerro de Pasco,-10.69,-76.26,2023,349,16.71,3.66,76.14,3.22,15.91
Pasco Cerro de Pasco,-10.69,-76.26,2023,350,15.67,5.61,80.31,3.61,11.98
Pasco Cerro de Pasco,-10.69,-76.26,2023,351,12.14,4.44,81.04,2.36,16.23
Pasco Cerro de Pasco,-10.69,-76.26,2023,352,17.22,3.58,73.82,2.43,17.23
Pasco Cerro de Pasco,-10.69,-76.26,2023,353,17.89,3.51,70.76,2.59,15.73
Pasco Cerro de Pasco,-10.69,-76.26,2023,354,10.05,1.93,77.9,3.12,13.25
Pasco Cerro de Pasco,-10.69,-76.26,2023,355,14.63,3.48,83.15,3.47,19.85
Pasco Cerro de Pasco,-10.69,-76.26,2023,356,14.95,4.93,80.24,3.63,12.79
Pasco Cerro de Pasco,-10.69,-76.26,2023,357,13.89,4.14,78.97,3.62,15.42
Pasco Cerro de Pasco,-10.69,-76.26,2023,358,13.75,4.79,78.62,3.41,20.76
Pasco Cerro de Pasco,-10.69,-76.26,2023,359,14.22,3.82,78.8,3.55,12.52
Pasco Cerro de Pasco,-10.69,-76.26,2023,360,14.52,4.18,78.09,4.9,13.52
Pasco Cerro de Pasco,-10.69,-76.26,2023,361,13.66,3.61,77.96,4.45,11.67
Pasco Cerro de Pasco,-10.69,-76.26,2023,362,15.77,4.49,77.32,3.5,13.59
Pasco Cerro de Pasco,-10.69,-76.26,2023,363,14.98,4.54,77.73,3.16,15.63
Pasco Cerro de Pasco,-10.69,-76.26,2023,364,14.48,5.71,81.65,3.43,14.62
