Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Piura,-5.19,-80.63,2023,274,34.17,20.36,59.79,6.89,21.26
Piura,-5.19,-80.63,2023,275,34.84,20.74,59.55,6.72,21.81
Piura,-5.19,-80.63,2023,276,33.34,21.08,61.56,6.47,12.08
Piura,-5.19,-80.63,2023,277,33.84,21.03,61.85,5.49,20.59
Piura,-5.19,-80.63,2023,278,34.49,21.21,59.35,5.21,21.01
Piura,-5.19,-80.63,2023,279,34.39,21.82,59.8,6.47,20.64
Piura,-5.19,-80.63,2023,280,35.35,21.34,57.22,7.02,23.47
Piura,-5.19,-80.63,2023,281,35.79,21.42,56.12,5.83,19.61
Piura,-5.19,-80.63,2023,282,34.67,20.92,60.78,6.46,22.01
Piura,-5.19,-80.63,2023,283,34.52,20.37,61.98,6.82,14.05
Piura,-5.19,-80.63,2023,284,35.99,20.31,59.28,6.72,22.2
Piura,-5.19,-80.63,2023,285,35.44,20.36,58.55,5.95,24.9
Piura,-5.19,-80.63,2023,286,34.47,20.89,58.83,6.15,23.13
Piura,-5.19,-80.63,2023,287,35.37,20.77,60.89,6.02,15.28
Piura,-5.19,-80.63,2023,288,35.67,20.83,59.57,5.92,23.78
Piura,-5.19,-80.63,2023,289,35.19,20.94,58.82,5.63,24.22
Piura,-5.19,-80.63,2023,290,35.45,21.21,58.31,5.95,23.59
Piura,-5.19,-80.63,2023,291,35.18,20.75,58.29,7.09,23.63
Piura,-5.19,-80.63,2023,292,35.34,20.87,60.16,7.08,19.98
Piura,-5.19,-80.63,2023,293,34.96,20.66,60.98,6.37,23.93
Piura,-5.19,-80.63,2023,294,33.86,21.14,61.5,5.46,22.65
Piura,-5.19,-80.63,2023,295,34.92,21.71,59.68,5.52,22.28
Piura,-5.19,-80.63,2023,296,35.27,21.61,58.87,7.31,19.91
Piura,-5.19,-80.63,2023,297,35.79,21.23,59.32,6.91,19.65
Piura,-5.19,-80.63,2023,298,33.78,21.27,62.8,5.92,17.41
Piura,-5.19,-80.63,2023,299,33.88,21.1,63.98,5.36,18.89
Piura,-5.19,-80.63,2023,300,33.75,20.55,62.22,5.29,15.49
Piura,-5.19,-80.63,2023,301,33.41,20.98,60.27,4.87,14.86
Piura,-5.19,-80.63,2023,302,31.89,20.6,60.99,5.39,21.14
Piura,-5.19,-80.63,2023,303,34.33,20.36,62.58,5.37,20.89
Piura,-5.19,-80.63,2023,304,35.85,21.41,58.78,6.12,19.36
Piura,-5.19,-80.63,2023,305,34.75,21.4,59.39,6.03,21.45
Piura,-5.19,-80.63,2023,306,30.69,19.99,61.74,5.41,17.86
Piura,-5.19,-80.63,2023,307,33.37,18.3,62.66,5.3,25.64
Piura,-5.19,-80.63,2023,308,32.72,18.18,61.71,6.02,15.18
Piura,-5.19,-80.63,2023,309,34.39,19.11,60.26,5.81,16.69
Piura,-5.19,-80.63,2023,310,34.43,20.51,59.11,6.08,19.01
Piura,-5.19,-80.63,2023,311,34.33,20.39,58.97,6.22,25.52
Piura,-5.19,-80.63,2023,312,34.44,20.22,60.87,6.96,24.1
Piura,-5.19,-80.63,2023,313,34.08,20.08,60.01,7.48,24.66
Piura,-5.19,-80.63,2023,314,34.01,20.4,58.92,6.48,22.01
Piura,-5.19,-80.63,2023,315,34.29,20.28,58.04,6.63,25.88
Piura,-5.19,-80.63,2023,316,34.7,20.74,60.5,6.43,24.72
Piura,-5.19,-80.63,2023,317,34.9,21.19,61.26,6.57,25.63
Piura,-5.19,-80.63,2023,318,33.54,20.72,63.22,6.59,23.1
Piura,-5.19,-80.63,2023,319,29.91,21.07,67.2,5.92,14.59
Piura,-5.19,-80.63,2023,320,33.97,20.84,62.83,7.25,21.38
Piura,-5.19,-80.63,2023,321,34.16,20.43,63.33,6.86,18.55
Piura,-5.19,-80.63,2023,322,33.39,21.27,62.98,5.29,15.71
Piura,-5.19,-80.63,2023,323,35.04,21.01,62.76,4.94,21.83
Piura,-5.19,-80.63,2023,324,31.65,21.55,62.17,4.81,16.73
Piura,-5.19,-80.63,2023,325,31.8,20.56,62.3,5.25,18.02
Piura,-5.19,-80.63,2023,326,34.66,19.82,60.14,5.48,25.4
Piura,-5.19,-80.63,2023,327,34.37,20.9,60.76,5.58,22.34
Piura,-5.19,-80.63,2023,328,34.79,21.79,59.91,6.0,23.6
Piura,-5.19,-80.63,2023,329,35.15,20.14,59.6,6.19,19.66
Piura,-5.19,-80.63,2023,330,35.16,20.91,60.14,5.84,18.02
Piura,-5.19,-80.63,2023,331,33.57,20.6,61.29,6.85,24.51
Piura,-5.19,-80.63,2023,332,34.33,20.64,60.19,7.48,21.75
Piura,-5.19,-80.63,2023,333,34.48,20.52,62.18,6.39,24.9
Piura,-5.19,-80.63,2023,334,33.87,20.78,62.39,5.83,24.65
Piura,-5.19,-80.63,2023,335,34.28,21.19,61.01,7.43,22.03
Piura,-5.19,-80.63,2023,336,34.06,20.84,61.68,7.82,24.56
Piura,-5.19,-80.63,2023,337,34.83,20.81,61.72,6.34,18.89
