Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Puno,-15.84,-70.02,2023,274,15.82,3.01,73.17,3.59,20.7
Puno,-15.84,-70.02,2023,275,17.33,4.09,62.41,3.45,25.74
Puno,-15.84,-70.02,2023,276,17.98,3.64,49.49,3.9,26.98
Puno,-15.84,-70.02,2023,277,19.37,2.49,55.33,5.02,28.58
Puno,-15.84,-70.02,2023,278,16.34,6.21,63.18,3.33,24.55
Puno,-15.84,-70.02,2023,279,21.31,2.81,49.56,2.59,23.65
Puno,-15.84,-70.02,2023,280,20.75,5.34,51.14,3.41,25.08
Puno,-15.84,-70.02,2023,281,21.79,3.06,42.53,2.48,29.75
Puno,-15.84,-70.02,2023,282,20.08,8.18,54.11,3.82,25.75
Puno,-15.84,-70.02,2023,283,18.41,7.08,63.48,4.53,26.98
Puno,-15.84,-70.02,2023,284,19.21,7.33,57.56,4.35,28.42
Puno,-15.84,-70.02,2023,285,16.48,7.73,61.82,4.32,27.36
Puno,-15.84,-70.02,2023,286,16.3,7.79,64.24,4.91,24.01
Puno,-15.84,-70.02,2023,287,17.06,6.13,64.58,5.9,25.36
Puno,-15.84,-70.02,2023,288,17.5,5.25,61.59,5.59,26.85
Puno,-15.84,-70.02,2023,289,16.65,5.73,64.3,5.28,26.89
Puno,-15.84,-70.02,2023,290,16.92,5.82,64.87,6.01,25.75
Puno,-15.84,-70.02,2023,291,17.36,4.96,58.84,5.77,18.53
Puno,-15.84,-70.02,2023,292,12.29,5.66,73.18,4.47,17.37
Puno,-15.84,-70.02,2023,293,15.69,5.14,66.23,6.34,16.01
Puno,-15.84,-70.02,2023,294,16.96,4.47,63.32,6.76,15.08
Puno,-15.84,-70.02,2023,295,18.12,5.4,60.51,5.51,20.77
Puno,-15.84,-70.02,2023,296,15.37,2.76,71.73,3.45,20.08
Puno,-15.84,-70.02,2023,297,14.97,5.62,64.37,3.93,22.27
Puno,-15.84,-70.02,2023,298,17.66,7.22,62.18,3.0,21.91
Puno,-15.84,-70.02,2023,299,19.26,4.89,54.7,3.1,26.33
Puno,-15.84,-70.02,2023,300,19.26,6.57,54.9,3.25,25.83
Puno,-15.84,-70.02,2023,301,20.31,3.03,42.09,4.53,26.42
Puno,-15.84,-70.02,2023,302,20.48,-1.07,30.36,4.08,32.37
Puno,-15.84,-70.02,2023,303,20.3,-1.1,28.54,3.15,30.63
Puno,-15.84,-70.02,2023,304,19.21,1.07,44.95,3.13,30.52
Puno,-15.84,-70.02,2023,305,21.18,4.78,43.9,2.42,31.43
Puno,-15.84,-70.02,2023,306,20.51,4.17,47.98,3.25,31.18
Puno,-15.84,-70.02,2023,307,16.77,8.22,64.17,6.03,28.92
Puno,-15.84,-70.02,2023,308,19.06,6.14,58.79,3.98,23.84
Puno,-15.84,-70.02,2023,309,16.3,5.1,66.42,5.93,26.05
Puno,-15.84,-70.02,2023,310,18.68,5.92,60.07,5.71,21.48
Puno,-15.84,-70.02,2023,311,17.37,7.8,65.81,6.91,24.95
Puno,-15.84,-70.02,2023,312,18.39,5.82,61.51,6.22,28.04
Puno,-15.84,-70.02,2023,313,14.59,6.36,67.21,7.19,16.75
Puno,-15.84,-70.02,2023,314,17.47,4.34,66.62,5.03,20.17
Puno,-15.84,-70.02,2023,315,17.36,4.22,58.66,2.83,24.33
Puno,-15.84,-70.02,2023,316,17.09,2.59,67.85,4.03,21.97
Puno,-15.84,-70.02,2023,317,20.01,4.15,47.64,2.11,26.99
Puno,-15.84,-70.02,2023,318,19.33,6.23,53.57,2.8,23.48
Puno,-15.84,-70.02,2023,319,16.8,3.83,38.48,2.82,23.75
Puno,-15.84,-70.02,2023,320,17.29,4.64,52.96,3.69,26.95
Puno,-15.84,-70.02,2023,321,19.63,5.92,54.66,3.0,24.9
Puno,-15.84,-70.02,2023,322,21.65,3.73,48.95,3.2,29.99
Puno,-15.84,-70.02,2023,323,20.76,3.42,40.62,3.39,26.8
Puno,-15.84,-70.02,2023,324,19.62,3.78,52.54,4.81,30.76
Puno,-15.84,-70.02,2023,325,18.83,6.1,51.39,2.07,29.36
Puno,-15.84,-70.02,2023,326,17.8,2.45,53.35,4.36,31.73
Puno,-15.84,-70.02,2023,327,16.34,3.95,67.3,4.11,27.69
Puno,-15.84,-70.02,2023,328,14.58,4.03,71.36,4.46,17.58
Puno,-15.84,-70.02,2023,329,14.18,4.97,76.98,3.87,13.23
Puno,-15.84,-70.02,2023,330,15.81,2.77,74.49,4.04,18.46
Puno,-15.84,-70.02,2023,331,15.93,3.79,64.14,3.07,20.64
Puno,-15.84,-70.02,2023,332,17.55,1.9,61.89,4.42,27.91
Puno,-15.84,-70.02,2023,333,16.37,2.61,72.44,4.4,23.91
Puno,-15.84,-70.02,2023,334,16.69,4.06,73.76,5.32,17.25
Puno,-15.84,-70.02,2023,335,17.02,3.8,59.3,2.82,15.82
Puno,-15.84,-70.02,2023,336,20.29,3.04,60.15,3.14,26.49
Puno,-15.84,-70.02,2023,337,20.47,4.14,52.4,3.0,27.59
Puno,-15.84,-70.02,2023,338,19.96,6.52,55.88,3.3,28.0
Puno,-15.84,-70.02,2023,339,17.85,5.11,58.16,3.49,24.72
Puno,-15.84,-70.02,2023,340,16.22,5.75,64.97,3.64,25.92
Puno,-15.84,-70.02,2023,341,16.59,7.34,69.55,4.48,26.6
Puno,-15.84,-70.02,2023,342,16.14,7.34,69.5,6.77,22.1
Puno,-15.84,-70.02,2023,343,17.51,6.48,65.39,5.19,23.82
Puno,-15.84,-70.02,2023,344,17.28,6.95,69.12,5.26,18.65
Puno,-15.84,-70.02,2023,345,15.75,6.4,70.46,4.97,20.49
Puno,-15.84,-70.02,2023,346,16.56,5.13,70.92,4.29,17.35
Puno,-15.84,-70.02,2023,347,15.82,2.39,72.4,4.28,17.71
Puno,-15.84,-70.02,2023,348,16.85,6.22,71.95,3.25,15.35
Puno,-15.84,-70.02,2023,349,17.32,3.77,71.08,2.64,21.65
Puno,-15.84,-70.02,2023,350,16.76,4.15,67.83,3.06,20.27
Puno,-15.84,-70.02,2023,351,17.0,6.86,63.92,2.45,20.9
Puno,-15.84,-70.02,2023,352,17.82,6.5,59.27,4.01,20.2
Puno,-15.84,-70.02,2023,353,15.55,6.13,63.41,3.8,25.27
Puno,-15.84,-70.02,2023,354,18.44,3.87,61.97,3.46,22.28
Puno,-15.84,-70.02,2023,355,18.78,4.28,66.21,3.82,26.21
Puno,-15.84,-70.02,2023,356,13.85,8.3,73.41,3.88,24.03
Puno,-15.84,-70.02,2023,357,17.39,7.76,64.98,3.69,29.26
Puno,-15.84,-70.02,2023,358,18.43,5.83,63.08,4.86,30.39
Puno,-15.84,-70.02,2023,359,18.51,6.87,60.96,4.78,30.12
Puno,-15.84,-70.02,2023,360,13.39,5.66,67.62,5.52,17.95
Puno,-15.84,-70.02,2023,361,16.63,4.7,64.01,4.79,21.22
Puno,-15.84,-70.02,2023,362,16.89,6.07,69.17,3.39,18.87
Puno,-15.84,-70.02,2023,363,17.07,6.43,69.07,4.01,20.01
Puno,-15.84,-70.02,2023,364,16.41,3.25,72.74,4.15,19.81
Puno,-15.84,-70.02,2023,365,18.22,4.03,66.08,2.94,21.52
Puno,-15.84,-70.02,2024,1,18.23,4.05,59.45,3.45,21.13
Puno,-15.84,-70.02,2024,2,14.65,7.94,70.39,2.83,14.17
Puno,-15.84,-70.02,2024,3,14.8,3.31,77.6,4.64,20.7
Puno,-15.84,-70.02,2024,4,12.01,2.48,80.72,3.67,17.43
Puno,-15.84,-70.02,2024,5,15.2,5.46,71.98,5.53,18.41
Puno,-15.84,-70.02,2024,6,16.96,5.57,63.88,4.66,30.01
Puno,-15.84,-70.02,2024,7,18.26,5.73,58.22,4.41,31.61
Puno,-15.84,-70.02,2024,8,19.54,6.68,57.31,4.17,29.94
Puno,-15.84,-70.02,2024,9,19.19,6.06,57.08,3.97,32.3
Puno,-15.84,-70.02,2024,10,19.32,6.44,54.58,4.3,30.67
Puno,-15.84,-70.02,2024,11,17.12,6.69,62.62,5.1,23.55
Puno,-15.84,-70.02,2024,12,18.03,4.93,58.91,5.05,26.27
Puno,-15.84,-70.02,2024,13,17.76,6.55,56.01,4.39,25.48
Puno,-15.84,-70.02,2024,14,18.3,7.08,63.85,4.71,21.5
Puno,-15.84,-70.02,2024,15,14.79,7.19,72.43,7.03,17.69
Puno,-15.84,-70.02,2024,16,15.38,7.32,72.58,4.2,20.79
Puno,-15.84,-70.02,2024,17,17.53,7.25,67.96,5.39,21.69
Puno,-15.84,-70.02,2024,18,17.49,7.49,68.11,4.72,23.41
Puno,-15.84,-70.02,2024,19,16.03,7.82,71.31,4.18,20.2
Puno,-15.84,-70.02,2024,20,18.26,7.27,66.76,5.09,19.61
Puno,-15.84,-70.02,2024,21,17.17,8.02,71.24,5.4,27.06
Puno,-15.84,-70.02,2024,22,18.96,7.51,62.95,5.17,24.77
Puno,-15.84,-70.02,2024,23,16.97,7.79,67.74,4.4,21.02
Puno,-15.84,-70.02,2024,24,17.18,6.55,66.57,2.77,17.73
Puno,-15.84,-70.02,2024,25,14.51,2.73,79.72,4.6,19.22
Puno,-15.84,-70.02,2024,26,17.37,2.99,71.41,2.88,18.7
Puno,-15.84,-70.02,2024,27,17.2,2.99,70.06,3.96,18.72
Puno,-15.84,-70.02,2024,28,16.11,4.04,75.01,3.46,21.77
Puno,-15.84,-70.02,2024,29,16.65,4.56,71.56,3.36,21.52
Puno,-15.84,-70.02,2024,30,16.31,3.77,71.42,4.0,23.05
