Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
San Martin Moyobamba,-6.03,-76.97,2023,274,32.4,21.4,55.39,1.1,19.77
San Martin Moyobamba,-6.03,-76.97,2023,275,34.27,21.88,49.29,1.19,21.17
San Martin Moyobamba,-6.03,-76.97,2023,276,32.6,22.36,52.8,1.22,18.52
San Martin Moyobamba,-6.03,-76.97,2023,277,29.75,22.89,60.87,1.12,19.47
San Martin Moyobamba,-6.03,-76.97,2023,278,33.3,21.74,49.81,1.36,20.58
San Martin Moyobamba,-6.03,-76.97,2023,279,33.92,22.26,49.15,1.37,24.36
San Martin Moyobamba,-6.03,-76.97,2023,280,33.15,21.74,45.65,1.08,23.89
San Martin Moyobamba,-6.03,-76.97,2023,281,28.48,23.13,63.06,0.96,14.41
San Martin Moyobamba,-6.03,-76.97,2023,282,33.26,21.18,58.65,1.07,13.89
San Martin Moyobamba,-6.03,-76.97,2023,283,33.12,20.72,57.06,1.01,19.72
San Martin Moyobamba,-6.03,-76.97,2023,284,33.47,21.77,51.05,1.04,24.12
San Martin Moyobamba,-6.03,-76.97,2023,285,34.02,21.05,48.77,1.31,20.82
San Martin Moyobamba,-6.03,-76.97,2023,286,30.93,22.85,59.27,1.28,14.93
San Martin Moyobamba,-6.03,-76.97,2023,287,31.71,21.45,54.17,0.98,12.99
San Martin Moyobamba,-6.03,-76.97,2023,288,32.2,21.73,51.49,1.14,15.66
San Martin Moyobamba,-6.03,-76.97,2023,289,33.13,21.09,47.63,1.09,18.13
San Martin Moyobamba,-6.03,-76.97,2023,290,30.27,22.13,57.94,1.05,12.18
San Martin Moyobamba,-6.03,-76.97,2023,291,31.72,20.19,60.75,0.97,21.55
San Martin Moyobamba,-6.03,-76.97,2023,292,31.97,21.59,56.65,0.97,15.65
San Martin Moyobamba,-6.03,-76.97,2023,293,32.99,21.7,54.63,1.07,19.41
San Martin Moyobamba,-6.03,-76.97,2023,294,33.31,22.19,51.63,1.04,23.09
San Martin Moyobamba,-6.03,-76.97,2023,295,30.9,22.4,56.73,1.08,13.17
San Martin Moyobamba,-6.03,-76.97,2023,296,31.58,21.38,57.05,1.07,18.71
San Martin Moyobamba,-6.03,-76.97,2023,297,33.7,21.83,52.44,1.21,22.6
San Martin Moyobamba,-6.03,-76.97,2023,298,33.66,22.36,52.95,1.23,22.79
San Martin Moyobamba,-6.03,-76.97,2023,299,33.1,22.02,50.63,1.27,18.96
San Martin Moyobamba,-6.03,-76.97,2023,300,32.2,22.09,54.08,1.53,15.08
San Martin Moyobamba,-6.03,-76.97,2023,301,30.37,22.31,59.49,1.5,9.96
San Martin Moyobamba,-6.03,-76.97,2023,302,25.54,19.41,81.99,0.99,8.34
San Martin Moyobamba,-6.03,-76.97,2023,303,29.99,18.27,78.82,1.33,19.12
San Martin Moyobamba,-6.03,-76.97,2023,304,30.32,19.26,71.67,1.1,16.4
San Martin Moyobamba,-6.03,-76.97,2023,305,26.93,20.78,80.82,1.08,17.26
San Martin Moyobamba,-6.03,-76.97,2023,306,26.87,19.6,80.33,1.06,10.85
San Martin Moyobamba,-6.03,-76.97,2023,307,29.46,19.01,76.16,1.19,20.02
San Martin Moyobamba,-6.03,-76.97,2023,308,29.62,19.88,75.56,0.93,13.85
San Martin Moyobamba,-6.03,-76.97,2023,309,27.32,19.36,86.63,0.77,7.29
San Martin Moyobamba,-6.03,-76.97,2023,310,28.53,19.53,78.98,0.8,16.25
San Martin Moyobamba,-6.03,-76.97,2023,311,31.03,19.54,69.09,0.97,21.7
San Martin Moyobamba,-6.03,-76.97,2023,312,32.08,19.75,66.97,1.07,18.3
San Martin Moyobamba,-6.03,-76.97,2023,313,28.86,19.97,79.82,1.0,11.92
San Martin Moyobamba,-6.03,-76.97,2023,314,30.48,18.68,68.86,0.99,20.24
San Martin Moyobamba,-6.03,-76.97,2023,315,31.28,19.86,67.72,0.98,18.83
San Martin Moyobamba,-6.03,-76.97,2023,316,31.79,20.31,70.25,1.05,18.54
San Martin Moyobamba,-6.03,-76.97,2023,317,32.41,20.77,68.86,0.99,22.5
San Martin Moyobamba,-6.03,-76.97,2023,318,30.79,21.74,70.81,1.07,17.41
San Martin Moyobamba,-6.03,-76.97,2023,319,27.23,20.58,79.5,1.03,16.42
San Martin Moyobamba,-6.03,-76.97,2023,320,31.47,19.61,66.81,1.19,17.09
San Martin Moyobamba,-6.03,-76.97,2023,321,33.22,20.19,58.61,1.23,21.51
San Martin Moyobamba,-6.03,-76.97,2023,322,32.84,20.16,58.17,1.27,25.34
San Martin Moyobamba,-6.03,-76.97,2023,323,32.09,21.08,64.48,1.29,14.73
San Martin Moyobamba,-6.03,-76.97,2023,324,29.28,20.16,77.82,1.41,14.45
San Martin Moyobamba,-6.03,-76.97,2023,325,29.74,19.68,61.82,1.24,14.8
San Martin Moyobamba,-6.03,-76.97,2023,326,32.31,20.01,55.75,1.44,21.13
San Martin Moyobamba,-6.03,-76.97,2023,327,27.28,20.92,76.04,1.32,15.28
San Martin Moyobamba,-6.03,-76.97,2023,328,26.55,19.17,73.11,1.53,18.37
San Martin Moyobamba,-6.03,-76.97,2023,329,30.47,18.51,62.56,1.45,21.64
San Martin Moyobamba,-6.03,-76.97,2023,330,26.81,18.9,83.72,1.16,9.51
San Martin Moyobamba,-6.03,-76.97,2023,331,28.85,18.39,78.36,0.92,14.3
San Martin Moyobamba,-6.03,-76.97,2023,332,30.63,19.75,67.05,1.12,17.79
San Martin Moyobamba,-6.03,-76.97,2023,333,30.65,19.44,63.91,1.23,21.08
San Martin Moyobamba,-6.03,-76.97,2023,334,30.33,19.99,68.19,1.29,15.7
San Martin Moyobamba,-6.03,-76.97,2023,335,27.99,19.41,72.56,1.17,15.25
San Martin Moyobamba,-6.03,-76.97,2023,336,31.13,19.62,63.88,1.17,20.2
San Martin Moyobamba,-6.03,-76.97,2023,337,31.58,20.64,67.41,1.25,19.9
San Martin Moyobamba,-6.03,-76.97,2023,338,31.35,20.26,67.62,1.26,19.61
San Martin Moyobamba,-6.03,-76.97,2023,339,27.43,21.04,74.5,1.22,8.93
San Martin Moyobamba,-6.03,-76.97,2023,340,30.46,19.75,72.16,1.15,11.04
San Martin Moyobamba,-6.03,-76.97,2023,341,28.96,20.32,68.05,1.35,18.27
San Martin Moyobamba,-6.03,-76.97,2023,342,30.64,19.89,66.27,1.05,13.55
San Martin Moyobamba,-6.03,-76.97,2023,343,27.35,20.21,73.64,0.78,12.09
San Martin Moyobamba,-6.03,-76.97,2023,344,28.68,19.71,76.36,0.83,18.13
San Martin Moyobamba,-6.03,-76.97,2023,345,31.25,20.25,69.19,1.07,19.35
San Martin Moyobamba,-6.03,-76.97,2023,346,30.93,21.27,70.87,1.08,19.14
San Martin Moyobamba,-6.03,-76.97,2023,347,31.56,21.41,68.31,1.13,17.67
San Martin Moyobamba,-6.03,-76.97,2023,348,29.1,21.65,73.49,1.18,13.3
San Martin Moyobamba,-6.03,-76.97,2023,349,29.57,21.04,72.47,1.08,16.69
San Martin Moyobamba,-6.03,-76.97,2023,350,28.12,21.88,78.19,1.01,12.27
San Martin Moyobamba,-6.03,-76.97,2023,351,24.4,18.66,89.36,0.74,7.08
San Martin Moyobamba,-6.03,-76.97,2023,352,31.13,17.89,68.68,1.24,17.58
San Martin Moyobamba,-6.03,-76.97,2023,353,31.03,20.54,68.81,1.3,17.36
San Martin Moyobamba,-6.03,-76.97,2023,354,28.12,21.31,69.98,1.39,16.91
San Martin Moyobamba,-6.03,-76.97,2023,355,30.18,19.99,69.75,1.25,12.13
