Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Tacna,-18.01,-70.25,2023,274,22.98,11.43,50.17,2.69,22.05
Tacna,-18.01,-70.25,2023,275,22.9,10.6,51.51,2.74,19.26
Tacna,-18.01,-70.25,2023,276,20.99,10.34,50.1,3.07,19.77
Tacna,-18.01,-70.25,2023,277,23.16,11.14,51.11,2.98,16.54
Tacna,-18.01,-70.25,2023,278,21.73,9.82,58.85,2.9,17.01
Tacna,-18.01,-70.25,2023,279,24.66,9.71,57.3,2.85,24.05
Tacna,-18.01,-70.25,2023,280,20.61,9.8,56.6,2.58,23.19
Tacna,-18.01,-70.25,2023,281,24.65,10.8,42.7,3.19,23.4
Tacna,-18.01,-70.25,2023,282,25.17,11.26,36.84,3.29,23.66
Tacna,-18.01,-70.25,2023,283,24.32,10.83,41.36,2.96,19.87
Tacna,-18.01,-70.25,2023,284,25.17,12.07,37.35,3.03,24.49
Tacna,-18.01,-70.25,2023,285,25.69,11.61,43.63,3.15,21.06
Tacna,-18.01,-70.25,2023,286,26.41,12.81,48.42,2.89,23.21
Tacna,-18.01,-70.25,2023,287,26.11,11.77,46.18,3.11,24.42
Tacna,-18.01,-70.25,2023,288,26.27,12.52,44.32,3.24,25.87
Tacna,-18.01,-70.25,2023,289,25.4,12.36,42.23,3.21,27.03
Tacna,-18.01,-70.25,2023,290,24.09,12.28,47.72,3.07,25.46
Tacna,-18.01,-70.25,2023,291,23.19,11.51,51.35,2.84,25.54
Tacna,-18.01,-70.25,2023,292,27.03,14.51,46.84,2.77,25.8
Tacna,-18.01,-70.25,2023,293,26.01,13.5,52.28,2.52,22.92
Tacna,-18.01,-70.25,2023,294,24.11,13.5,58.08,2.6,21.14
Tacna,-18.01,-70.25,2023,295,22.14,13.49,64.73,2.8,23.7
Tacna,-18.01,-70.25,2023,296,23.48,12.82,57.42,3.09,21.26
Tacna,-18.01,-70.25,2023,297,25.37,12.64,50.4,3.07,19.83
Tacna,-18.01,-70.25,2023,298,24.44,12.44,46.06,3.3,21.0
Tacna,-18.01,-70.25,2023,299,22.35,10.21,46.12,2.96,22.53
Tacna,-18.01,-70.25,2023,300,19.12,8.72,64.02,3.13,25.8
Tacna,-18.01,-70.25,2023,301,20.96,8.56,59.23,3.0,29.48
Tacna,-18.01,-70.25,2023,302,22.68,8.06,42.67,3.49,29.73
Tacna,-18.01,-70.25,2023,303,23.4,8.53,32.27,3.53,28.08
Tacna,-18.01,-70.25,2023,304,23.16,9.83,31.49,3.26,23.04
Tacna,-18.01,-70.25,2023,305,23.07,10.39,47.22,3.18,23.27
Tacna,-18.01,-70.25,2023,306,22.96,9.38,42.34,3.55,28.07
Tacna,-18.01,-70.25,2023,307,23.32,9.9,49.37,2.92,23.98
Tacna,-18.01,-70.25,2023,308,21.86,11.21,66.37,3.24,23.13
Tacna,-18.01,-70.25,2023,309,22.9,11.25,57.63,3.17,27.43
Tacna,-18.01,-70.25,2023,310,23.33,12.58,54.57,2.76,27.81
Tacna,-18.01,-70.25,2023,311,23.57,12.53,51.12,2.36,21.82
Tacna,-18.01,-70.25,2023,312,26.38,14.13,48.4,3.27,23.16
Tacna,-18.01,-70.25,2023,313,27.12,13.23,55.29,2.62,21.41
Tacna,-18.01,-70.25,2023,314,22.3,13.35,62.25,2.67,19.43
Tacna,-18.01,-70.25,2023,315,24.39,13.47,53.92,3.39,20.49
Tacna,-18.01,-70.25,2023,316,25.18,13.01,53.28,2.93,18.06
Tacna,-18.01,-70.25,2023,317,26.31,12.07,46.68,3.49,18.19
Tacna,-18.01,-70.25,2023,318,23.69,10.86,43.38,3.16,19.11
Tacna,-18.01,-70.25,2023,319,24.72,10.63,42.01,3.23,19.27
Tacna,-18.01,-70.25,2023,320,21.61,11.83,45.78,2.95,18.48
Tacna,-18.01,-70.25,2023,321,25.13,12.05,47.11,3.28,21.61
Tacna,-18.01,-70.25,2023,322,25.78,12.5,46.08,3.64,22.05
Tacna,-18.01,-70.25,2023,323,25.26,12.29,34.72,3.3,24.84
Tacna,-18.01,-70.25,2023,324,22.51,10.26,46.87,3.21,27.92
Tacna,-18.01,-70.25,2023,325,22.28,9.77,53.67,3.09,26.81
