Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Tumbes,-3.57,-80.45,2023,274,29.87,23.74,67.81,4.31,19.51
Tumbes,-3.57,-80.45,2023,275,30.39,24.39,68.23,5.07,21.44
Tumbes,-3.57,-80.45,2023,276,29.6,24.48,69.04,5.17,21.84
Tumbes,-3.57,-80.45,2023,277,29.09,24.34,69.07,3.92,21.37
Tumbes,-3.57,-80.45,2023,278,27.63,24.18,72.01,3.08,14.94
Tumbes,-3.57,-80.45,2023,279,29.43,24.9,69.13,3.48,22.33
Tumbes,-3.57,-80.45,2023,280,30.09,25.07,67.09,4.42,20.69
Tumbes,-3.57,-80.45,2023,281,28.92,24.88,68.73,3.47,18.26
Tumbes,-3.57,-80.45,2023,282,28.62,24.46,70.31,3.63,16.86
Tumbes,-3.57,-80.45,2023,283,29.92,23.68,72.01,4.57,18.67
Tumbes,-3.57,-80.45,2023,284,29.69,24.19,69.52,4.52,20.33
Tumbes,-3.57,-80.45,2023,285,29.83,24.57,68.74,4.36,22.53
Tumbes,-3.57,-80.45,2023,286,30.35,25.18,66.0,4.03,18.41
Tumbes,-3.57,-80.45,2023,287,30.42,24.83,68.28,4.39,19.01
Tumbes,-3.57,-80.45,2023,288,28.55,24.43,73.36,4.03,15.83
Tumbes,-3.57,-80.45,2023,289,27.95,24.74,72.5,3.5,14.3
Tumbes,-3.57,-80.45,2023,290,29.52,24.95,70.16,3.54,19.84
Tumbes,-3.57,-80.45,2023,291,30.41,24.79,66.69,4.79,24.37
Tumbes,-3.57,-80.45,2023,292,30.76,24.51,67.49,5.67,19.16
Tumbes,-3.57,-80.45,2023,293,29.36,24.1,71.39,4.78,18.4
Tumbes,-3.57,-80.45,2023,294,27.62,24.52,72.61,4.18,10.0
Tumbes,-3.57,-80.45,2023,295,28.23,24.88,72.03,3.78,11.58
Tumbes,-3.57,-80.45,2023,296,31.19,24.17,67.03,6.29,20.67
Tumbes,-3.57,-80.45,2023,297,30.19,24.84,69.43,5.27,13.82
Tumbes,-3.57,-80.45,2023,298,29.0,24.9,70.89,4.01,17.87
Tumbes,-3.57,-80.45,2023,299,27.98,24.42,71.93,4.3,17.17
Tumbes,-3.57,-80.45,2023,300,28.45,23.59,72.47,5.0,10.38
Tumbes,-3.57,-80.45,2023,301,27.73,23.96,71.52,3.87,16.68
Tumbes,-3.57,-80.45,2023,302,27.99,24.1,70.62,4.39,15.9
Tumbes,-3.57,-80.45,2023,303,27.1,24.03,72.8,3.62,22.04
Tumbes,-3.57,-80.45,2023,304,28.31,24.32,71.76,4.07,12.39
Tumbes,-3.57,-80.45,2023,305,28.75,24.48,69.86,4.32,18.01
Tumbes,-3.57,-80.45,2023,306,28.52,23.67,69.5,4.15,13.43
Tumbes,-3.57,-80.45,2023,307,28.11,23.0,69.21,4.55,17.97
Tumbes,-3.57,-80.45,2023,308,28.68,22.16,67.98,5.66,21.0
Tumbes,-3.57,-80.45,2023,309,29.15,22.92,67.32,5.37,21.3
Tumbes,-3.57,-80.45,2023,310,28.56,24.3,68.65,4.39,16.72
Tumbes,-3.57,-80.45,2023,311,29.27,24.6,67.48,4.17,20.91
Tumbes,-3.57,-80.45,2023,312,29.78,23.63,68.46,5.72,20.83
Tumbes,-3.57,-80.45,2023,313,30.0,23.35,67.28,6.82,22.7
Tumbes,-3.57,-80.45,2023,314,29.4,23.43,67.48,5.35,18.77
Tumbes,-3.57,-80.45,2023,315,29.67,24.06,66.84,4.86,15.06
Tumbes,-3.57,-80.45,2023,316,29.53,24.07,67.92,4.46,17.82
Tumbes,-3.57,-80.45,2023,317,29.72,24.21,70.28,4.58,19.46
Tumbes,-3.57,-80.45,2023,318,29.16,23.96,70.48,5.28,17.29
Tumbes,-3.57,-80.45,2023,319,29.16,23.59,72.79,4.64,12.18
Tumbes,-3.57,-80.45,2023,320,29.41,24.42,70.16,5.02,18.5
Tumbes,-3.57,-80.45,2023,321,29.38,23.71,71.79,5.09,13.46
Tumbes,-3.57,-80.45,2023,322,27.64,24.14,73.68,3.97,11.22
Tumbes,-3.57,-80.45,2023,323,26.71,23.87,76.46,3.68,20.59
Tumbes,-3.57,-80.45,2023,324,27.79,24.1,73.45,3.75,15.31
