Departamento,Latitud,Longitud,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS10M,RADIACION_SOLAR
Ucayali Pucallpa,-8.38,-74.55,2023,274,39.85,28.69,40.29,0.86,17.65
Ucayali Pucallpa,-8.38,-74.55,2023,275,40.63,29.21,40.31,1.18,22.3
Ucayali Pucallpa,-8.38,-74.55,2023,276,40.76,29.11,41.42,1.07,19.84
Ucayali Pucallpa,-8.38,-74.55,2023,277,41.05,29.97,40.62,1.14,22.87
Ucayali Pucallpa,-8.38,-74.55,2023,278,41.55,30.26,37.5,1.32,23.36
Ucayali Pucallpa,-8.38,-74.55,2023,279,42.18,29.34,37.09,1.4,25.42
Ucayali Pucallpa,-8.38,-74.55,2023,280,42.4,29.6,34.46,1.34,23.84
Ucayali Pucallpa,-8.38,-74.55,2023,281,40.8,29.75,40.48,1.21,15.77
Ucayali Pucallpa,-8.38,-74.55,2023,282,38.53,28.75,44.74,1.4,12.29
Ucayali Pucallpa,-8.38,-74.55,2023,283,39.76,26.53,42.63,0.62,17.08
Ucayali Pucallpa,-8.38,-74.55,2023,284,39.94,27.6,40.37,0.9,24.62
Ucayali Pucallpa,-8.38,-74.55,2023,285,41.37,28.28,40.0,1.06,22.48
Ucayali Pucallpa,-8.38,-74.55,2023,286,37.34,27.72,52.46,1.1,5.55
Ucayali Pucallpa,-8.38,-74.55,2023,287,36.47,25.5,65.96,0.51,22.59
Ucayali Pucallpa,-8.38,-74.55,2023,288,38.3,25.89,55.29,0.74,17.89
Ucayali Pucallpa,-8.38,-74.55,2023,289,39.02,26.7,49.98,0.94,22.22
Ucayali Pucallpa,-8.38,-74.55,2023,290,37.68,26.58,52.61,0.77,18.48
Ucayali Pucallpa,-8.38,-74.55,2023,291,39.86,26.25,46.98,0.81,24.4
Ucayali Pucallpa,-8.38,-74.55,2023,292,40.33,27.74,44.29,0.9,22.98
Ucayali Pucallpa,-8.38,-74.55,2023,293,40.48,28.76,42.82,0.98,18.81
Ucayali Pucallpa,-8.38,-74.55,2023,294,40.0,27.35,44.08,0.9,24.54
Ucayali Pucallpa,-8.38,-74.55,2023,295,37.11,28.44,47.11,0.99,21.7
Ucayali Pucallpa,-8.38,-74.55,2023,296,41.18,26.58,39.25,0.88,23.45
Ucayali Pucallpa,-8.38,-74.55,2023,297,40.87,28.33,39.85,0.99,24.59
Ucayali Pucallpa,-8.38,-74.55,2023,298,40.79,29.15,40.86,1.15,21.83
Ucayali Pucallpa,-8.38,-74.55,2023,299,40.4,29.91,40.28,1.18,20.04
Ucayali Pucallpa,-8.38,-74.55,2023,300,39.75,29.1,42.08,1.5,17.14
Ucayali Pucallpa,-8.38,-74.55,2023,301,38.24,28.74,47.01,1.67,8.12
Ucayali Pucallpa,-8.38,-74.55,2023,302,36.22,26.53,56.04,1.78,10.14
Ucayali Pucallpa,-8.38,-74.55,2023,303,39.41,25.31,48.68,1.19,21.78
Ucayali Pucallpa,-8.38,-74.55,2023,304,39.15,27.87,46.21,1.38,18.67
Ucayali Pucallpa,-8.38,-74.55,2023,305,34.7,25.98,64.48,0.87,8.85
Ucayali Pucallpa,-8.38,-74.55,2023,306,35.92,25.1,66.81,0.77,10.85
Ucayali Pucallpa,-8.38,-74.55,2023,307,38.74,24.3,51.89,0.88,22.14
